scenario,research_sharpe,validation_sharpe,research_cagr,validation_cagr,research_mdd,validation_mdd,a_research_sharpe,a_validation_sharpe,sharpe_better_research,sharpe_better_validation,verdict
B,0.6036595799007985,0.6884690402826219,0.08463246508637923,0.10718236138522053,-0.15046868768260588,-0.16655977193165028,0.5998321637880757,0.7412259799096326,True,False,部分期优势，不稳定
C,0.6510153170648156,0.751451623120626,0.09267330359003068,0.118742414340679,-0.15021891352299327,-0.16379042405687888,0.5998321637880757,0.7412259799096326,True,True,防守候选
D,0.620304884533024,0.7013890435603722,0.1028477625758597,0.12971038817341318,-0.1828277598659243,-0.19997212559246805,0.5998321637880757,0.7412259799096326,True,False,部分期优势，不稳定
