date,from_regime,to_regime,pre_5d_ret,post_5d_ret,pre_10d_ret,post_10d_ret
2019-08-13,,,0.0,0.0030083809503450576,0.0,0.025679588609482495
2019-08-14,,,0.0,0.0008047492843559212,0.0,0.024787423093143413
2019-08-15,,震荡,0.0,0.006630313476580385,0.0,0.029401578391852534
2019-12-02,震荡,熊市,-0.005884536835210508,0.016539968140607098,-0.0173754018537301,0.050804598584877625
2019-12-23,熊市,强牛,0.011117020679837664,0.037414027480499934,0.03337929156754271,0.0851947001334813
2020-01-03,强牛,弱牛,0.03749524147640193,0.022143033946250723,0.043996549786454175,0.03260715017233873
2020-02-10,弱牛,熊市,-0.017758403525926614,0.030123011648718,-0.013064055513523076,0.0950881414379059
2020-02-18,熊市,震荡,0.036373876460312315,0.07025494367471163,0.08740875688207972,-0.01337936775593096
2020-03-19,震荡,熊市,-0.06836287829823184,0.00011877541051252827,-0.06106188953616831,0.0012342334417067002
2020-06-08,熊市,弱牛,0.008631910810382837,0.01081581357717376,0.008764720333848786,0.0504528406140855
2020-07-08,弱牛,强牛,0.06006565297529898,0.04529860199083291,0.08501006582956305,0.04203549822336128
2020-08-14,强牛,弱牛,-0.05752293003767206,-0.0016403284924577655,-0.007496830341931493,-0.005134722235619282
2020-09-22,弱牛,熊市,0.0,-0.0008611249409239408,-0.011636830049736369,-0.001391961815258136
2020-10-22,熊市,震荡,-0.004694354023818903,-0.01228202507587306,-0.005225190898153098,-0.008361007218031458
2020-11-12,震荡,弱牛,0.005644884087140256,0.011723392217867001,0.005560524989833837,0.025393227735695745
2020-12-10,弱牛,强牛,-0.026536029800850902,0.005187243911468964,0.0038834036302445307,0.004751172559105843
2020-12-17,强牛,震荡,0.0007103473243393887,0.004040825234766454,-0.025825682476511513,0.034461474009252924
2021-01-04,震荡,弱牛,0.03042064877448647,0.041640207232944704,0.02998457742212335,0.027059953230688216
2021-01-11,弱牛,强牛,0.06745876154839092,-0.040398808317702706,0.09787941032287739,-0.060783227817293506
2021-02-08,强牛,弱牛,0.028452840529468615,-0.039346036885654745,-0.006490010772317478,-0.06623017492543781
2021-03-11,弱牛,熊市,-0.01825904027172942,-0.0005870497921772744,-0.030799991521087478,-0.0005870497921772744
2021-06-01,熊市,弱牛,0.044546261075395055,-0.023399060018813866,0.0362492959791344,-0.02956201431265859
2021-06-30,弱牛,震荡,0.0049031039400370124,0.02517517184071605,0.01126825820313715,0.04248034234996412
2021-08-02,震荡,熊市,0.0034683062366317463,-0.003925378514456956,0.04696206916062007,-0.02155383567600133
2021-10-21,熊市,震荡,-0.004133211212475119,-0.0012810254739619165,-0.004612304502469855,0.010687279686767637
2021-11-04,震荡,熊市,-0.015103504475165841,0.021565339516087745,-0.011955663990003584,0.0012040270761993765
2021-11-23,熊市,震荡,0.005706708247835812,-0.018454725243149506,-0.0009475659165074646,-0.036377522480680824
2021-12-02,震荡,熊市,-0.009307041852585574,0.0049978757826008025,-0.004838410667384885,-0.010006888376864032
2022-06-27,熊市,弱牛,0.01722015890957762,0.008333586087371003,0.0299768389144891,-0.022955360745069098
2022-07-26,弱牛,震荡,-0.010966321548934732,0.010228232760818301,-0.019430880911945447,0.00671146854496274
2022-08-09,震荡,熊市,-0.00066971161924545,-0.013960090687514581,0.009271261752898163,-0.020791074492297557
2022-12-13,熊市,弱牛,-0.013141432110096996,-0.031863771199254654,0.03482509869833128,-0.020654897820063245
2023-01-05,弱牛,震荡,-0.0022718375379779943,0.006656110731134257,0.008937035841213414,0.048590136189394784
2023-01-12,震荡,强牛,0.006806280005754006,0.04178385618364078,0.004534442467776012,0.04837971461986035
2023-04-11,强牛,熊市,0.023173662736238554,0.008403942399350273,0.03888176475377059,-0.00557278170508424
2023-08-07,熊市,弱牛,0.012705866148175926,-0.03784389793830467,0.043907816618426354,-0.049540925916596534
