total_return,cagr,max_drawdown,sharpe,calmar,volatility,monthly_win_rate,annual_win_rate,worst_year,num_trades,total_commission,avg_industry_pct,avg_defense_pct,avg_cash_pct,avg_num_positions,days,period,scenario
1.761288065599461,0.15990028041208992,-0.1775467511695181,0.910322085765912,0.900609441506594,0.1891704794422959,0.4939759036144578,1.0,0.022385168739780914,804,68826.54013954641,0.5711421566710126,0.1280647506658224,0.30079309266316495,3.4948764315852925,1659,全期,A
1.5296785792682428,0.14515507192551635,-0.16655977193165028,0.9143470243555281,0.8714893773094406,0.16999872942627933,0.46987951807228917,0.875,-0.010967861386616762,542,47311.13431475217,0.509036886165647,0.0,0.490963113834353,2.46955997588909,1659,全期,B
1.8091113900402225,0.1628125791584123,-0.16379042405687888,0.9953163679813144,0.9940299019060662,0.17262817915305737,0.4819277108433735,1.0,0.003391793451836378,672,57401.45122956106,0.5084344507677857,0.1378779202440838,0.3536876289881305,3.2489451476793247,1659,全期,C
2.030842456114171,0.17578597601463675,-0.19997212559246805,0.9277593601954853,0.8790523953967398,0.20397664413554686,0.46987951807228917,0.875,-0.014027045369408797,542,62717.05480512694,0.6193186289789331,0.0,0.3806813710210668,2.46955997588909,1659,全期,D
0.34693578660280733,0.09207939318032454,-0.15427740147191668,0.5998321637880757,0.596843039238549,0.17891036950821432,0.4878048780487805,1.0,0.022385168739780914,411,29561.64511386888,0.5602757953593611,0.10538288019819374,0.3343413244424452,3.32685297691373,823,研究期,A
0.316131061224711,0.08463246508637923,-0.15046868768260588,0.6036595799007985,0.5624589832596959,0.16087757031158154,0.43902439024390244,0.75,-0.010967861386616762,269,20327.818533827438,0.4981512239038557,0.0,0.5018487760961443,2.428918590522479,823,研究期,B
0.3494141873745813,0.09267330359003068,-0.15021891352299327,0.6510153170648156,0.6169216739531646,0.16093319804578596,0.4634146341463415,1.0,0.003391793451836378,335,24313.7995677991,0.497764379633838,0.1226168135441578,0.37961880682200416,3.1044957472660997,823,研究期,C
0.392372948763247,0.1028477625758597,-0.1828277598659243,0.620304884533024,0.5625390950000291,0.19385121697160546,0.43902439024390244,0.75,-0.014027045369408797,269,26227.75841641092,0.6089172671777001,0.0,0.39108273282229983,2.428918590522479,823,研究期,D
0.27671183214634776,0.13039078021776596,-0.1775467511695181,0.7412259799096326,0.7344025129092419,0.194028703701332,0.4166666666666667,1.0,0.02926018886146564,231,19847.551742531883,0.5104632091521468,0.17996187112066966,0.30957491972718354,3.458677685950413,484,验证期,A
0.22499877139614877,0.10718236138522053,-0.16655977193165028,0.6884690402826219,0.643506893304369,0.17191968640323377,0.4166666666666667,1.0,0.05031545233130852,155,13453.038592797328,0.4619182660061899,0.0,0.5380817339938101,2.256198347107438,484,验证期,B
0.25062373818227335,0.118742414340679,-0.16379042405687888,0.751451623120626,0.7249655468224673,0.17190024719600847,0.4166666666666667,1.0,0.06391567075955118,187,16306.413477441642,0.4613817923189254,0.16383207517823797,0.3747861325028367,3.175619834710744,484,验证期,C
0.27518062188633063,0.12971038817341318,-0.19997212559246805,0.7013890435603722,0.6486423434721881,0.2074254748304878,0.4166666666666667,1.0,0.05950139838402291,155,17855.26082678183,0.5646477921901828,0.0,0.43535220780981715,2.256198347107438,484,验证期,D
0.7131708200608415,0.10513206779523454,-0.1775467511695181,0.6546313108788602,0.5921373784804237,0.18458286975770355,0.46153846153846156,1.0,0.022385168739780914,642,49409.19685640076,0.5418295124792604,0.13300050193230112,0.32516998558843857,3.375669472073451,1307,分析期,A
0.6063610539118165,0.09200036657721666,-0.16655977193165028,0.6363045283285217,0.5523564634500705,0.1649886206803948,0.4307692307692308,0.8333333333333334,-0.010967861386616762,424,33780.85712662476,0.484733663366388,0.0,0.515266336633612,2.36495791889824,1307,分析期,B
0.681518002329029,0.10131171657911398,-0.16379042405687888,0.6896762101685702,0.6185448090904987,0.16501567804495015,0.4461538461538462,1.0,0.003391793451836378,522,40620.213045240744,0.4842914092739164,0.13787938939029,0.37782920133579373,3.130833970925784,1307,分析期,C
0.7677448304023737,0.11158597997012465,-0.19997212559246805,0.6515218509159837,0.558007670516693,0.19890851007765203,0.4307692307692308,0.8333333333333334,-0.014027045369408797,424,44083.01924319276,0.5925236742978544,0.0,0.40747632570214565,2.36495791889824,1307,分析期,D
0.6419247469091884,0.40557155204953776,-0.11362627993415222,1.7692828015788735,3.569346389625457,0.20514248146107417,0.6111111111111112,1.0,0.18886239600405053,162,19417.34328314564,0.6799820031443656,0.10973796968489156,0.21028002717074268,3.9375,352,观察期,A
0.6046124134503885,0.38356306397389606,-0.09607424919556971,1.830946903727267,3.9923607749784358,0.187214626754219,0.6111111111111112,1.0,0.18965399282015838,118,13530.277188127404,0.5992764094572138,0.0,0.40072359054278617,2.8579545454545454,352,观察期,B
0.7018943932700199,0.4406189584423641,-0.10062792096864583,1.9554072709876467,4.3786948413617175,0.19802685237966539,0.6111111111111112,1.0,0.2138240130411766,150,16781.238184320315,0.5980792099509883,0.13787246520405103,0.2640483248449606,3.6875,352,观察期,C
0.7552566221005073,0.4714805735757084,-0.10821992534931994,1.854024797686457,4.3566891406904045,0.22152796071374617,0.6111111111111112,1.0,0.23301836591743053,118,18634.03556193418,0.718810122638507,0.0,0.2811898773614931,2.8579545454545454,352,观察期,D
