date,ticker,action,price,shares,amount,commission,pnl_pct,reason
2019-08-15,512400.SH,BUY,0.63629040973111,314300,199986.07577848787,59.995822733546355,0.0,行业买入
2019-08-15,511010.SH,BUY,115.859,1700,196960.3,59.088089999999994,0.0,防御填充
2019-08-15,518880.SH,BUY,3.435,58200,199917.0,59.9751,0.0,防御填充
2019-08-22,518880.SH,SELL,3.395,58200,197589.0,59.2767,-0.011644832605531306,防御让路（腾槽位）
2019-08-22,511010.SH,SELL,115.517,1700,196378.9,58.913669999999996,-0.0029518639035379106,防御让路（腾槽位）
2019-08-22,512010.SH,BUY,0.4315285,461500,199150.40274999998,59.74512082499999,0.0,行业买入
2019-08-22,512480.SH,BUY,0.5631752,353600,199138.75071999998,59.74162521599999,0.0,行业买入
2019-08-22,159928.SZ,BUY,0.725,274600,199085.0,59.7255,0.0,行业买入
2019-08-22,512660.SH,BUY,0.77,258600,199122.0,59.736599999999996,0.0,行业买入
2019-09-12,159928.SZ,SELL,0.739,274600,202929.4,60.87881999999999,0.019310344827586225,调出候选列表
2019-09-12,512000.SH,BUY,0.4875,416100,202848.75,60.85462499999999,0.0,行业买入
2019-09-19,512400.SH,SELL,0.65782639282971,314300,206754.83526637786,62.02645057991335,0.033846153846167425,调出候选列表
2019-09-19,512660.SH,SELL,0.811,258600,209724.6,62.917379999999994,0.05324675324675329,调出候选列表
2019-09-19,512980.SH,BUY,0.785,265100,208103.5,62.43104999999999,0.0,行业买入
2019-09-19,512800.SH,BUY,0.52829712999437,394000,208149.06921778177,62.44472076533452,0.0,行业买入
2019-09-26,512000.SH,SELL,0.463,416100,192654.30000000002,57.79629,-0.050256410256410186,调出候选列表
2019-09-26,512980.SH,SELL,0.771,265100,204392.1,61.317629999999994,-0.017834394904458616,调出候选列表
2019-09-26,512800.SH,SELL,0.52729656724817,394000,207754.84749577896,62.32645424873368,-0.001893939393936583,调出候选列表
2019-09-26,511010.SH,BUY,115.609,1800,208096.19999999998,62.428859999999986,0.0,防御填充
2019-10-10,512010.SH,SELL,0.448175,461500,206832.76249999998,62.04982874999999,0.03857566765578637,调出候选列表
2019-10-10,512480.SH,SELL,0.6130768,353600,216783.95648,65.03518694399999,0.08860759493670885,调出候选列表
2019-10-10,512800.SH,BUY,0.54180472706809,379600,205669.07439504698,61.70072231851409,0.0,行业买入
2019-10-17,511010.SH,SELL,115.657,1800,208182.6,62.45478,0.00041519258881230544,调出候选列表
2019-10-24,512010.SH,BUY,0.4653337,444300,206747.76291000002,62.024328873,0.0,行业买入
2019-10-31,512010.SH,SELL,0.4819802,444300,214143.80286000003,64.243140858,0.035773252614199245,调出候选列表
2019-11-07,159928.SZ,BUY,0.76625,273400,209492.75,62.84782499999999,0.0,行业买入
2019-11-07,512010.SH,BUY,0.4965779,422000,209555.8738,62.86676213999999,0.0,行业买入
2019-11-07,512480.SH,BUY,0.6151136,340600,209507.69216,62.85230764799999,0.0,行业买入
2019-11-14,512800.SH,SELL,0.55731344963421,379600,211556.18548114612,63.46685564434383,0.02862419205909031,调出候选列表
2019-11-14,512480.SH,SELL,0.6252976,340600,212976.36256,63.892908768,0.01655629139072843,调出候选列表
2019-11-21,512480.SH,BUY,0.6405736,327600,209851.91136,62.95557340799999,0.0,行业买入
2019-11-21,512980.SH,BUY,0.764,274700,209870.80000000002,62.96124,0.0,行业买入
2019-11-21,511010.SH,BUY,115.986,1600,185577.6,55.67328,0.0,防御填充
2019-11-28,159928.SZ,SELL,0.751,273400,205323.4,61.59701999999999,-0.019902120717781385,调出候选列表
2019-11-28,512010.SH,SELL,0.4873583,422000,205665.20260000002,61.69956078,-0.018566271273852488,调出候选列表
2019-11-28,512480.SH,SELL,0.633954,327600,207683.3304,62.30499912,-0.010333863275039665,调出候选列表
2019-11-28,512980.SH,SELL,0.748,274700,205475.6,61.64268,-0.02094240837696337,调出候选列表
2019-11-28,512400.SH,BUY,0.62454350985915,329600,205849.54084957583,61.75486225487274,0.0,行业买入
2019-12-05,512480.SH,BUY,0.6690888,308400,206346.98592,61.904095776,0.0,行业买入
2019-12-12,512980.SH,BUY,0.777,269800,209634.6,62.89037999999999,0.0,行业买入
2019-12-12,515880.SH,BUY,0.34988924050633,599100,209618.6439873423,62.885593196202684,0.0,行业买入
2019-12-19,511010.SH,SELL,116.043,1600,185668.80000000002,55.70064,0.000491438621902662,调出候选列表
2019-12-19,518880.SH,BUY,3.291,57000,187587.0,56.27609999999999,0.0,防御填充
2019-12-26,515880.SH,SELL,0.35522088607595,599100,212812.83284810162,63.84384985443048,0.015238095238094355,调出候选列表
2019-12-26,512000.SH,BUY,0.4695,465900,218740.05,65.62201499999999,0.0,行业买入
2020-01-16,518880.SH,SELL,3.413,57000,194541.0,58.3623,0.03707079914919474,调出候选列表
2020-01-16,511010.SH,BUY,117.209,1600,187534.4,56.26031999999999,0.0,防御填充
2020-01-23,512400.SH,SELL,0.72243434212548,329600,238114.3591645582,71.43430774936745,0.1567398119122346,调出候选列表
2020-01-23,512000.SH,SELL,0.488,465900,227359.19999999998,68.20776,0.03940362087326947,调出候选列表
2020-01-23,511010.SH,SELL,117.425,100,11742.5,5.0,0.0018428618962707127,防御减持让路
2020-01-23,512010.SH,BUY,0.5065658,470700,238440.52206,71.53215661799999,0.0,行业买入
2020-01-23,512660.SH,BUY,0.796,299600,238481.6,71.54448,0.0,行业买入
2020-02-03,512660.SH,STOP_LOSS,0.711,299600,213015.59999999998,63.904679999999985,-0.10678391959799004,"固定止损: 成本盈亏-10.68%, 高点回撤-10.68%"
2020-02-06,512980.SH,SELL,0.849,269800,229060.19999999998,68.71806,0.0926640926640926,调出候选列表
2020-02-06,512010.SH,SELL,0.5032365,470700,236873.42054999998,71.06202616499999,-0.006572295247724935,调出候选列表
2020-02-13,512010.SH,BUY,0.5127122,453000,232258.6266,69.67758797999998,0.0,行业买入
2020-02-13,512980.SH,BUY,0.933,248900,232223.7,69.66711,0.0,行业买入
2020-02-20,511010.SH,SELL,118.454,1500,177681.0,53.3043,0.010622051207671682,防御让路（腾槽位）
2020-02-20,512660.SH,BUY,0.855,235300,201181.5,60.35444999999999,0.0,行业买入
2020-02-20,512400.SH,BUY,0.74788595851472,269100,201256.11143631113,60.376833430893335,0.0,行业买入
2020-02-27,512010.SH,SELL,0.5016999,453000,227270.05469999998,68.18101640999998,-0.02147852147852143,调出候选列表
2020-02-27,515880.SH,BUY,0.43652848101266,520300,227125.768670887,68.13773060126609,0.0,行业买入
2020-03-05,512480.SH,SELL,1.0178908,308400,313917.52272,94.175256816,0.5213089802130897,调出候选列表
2020-03-05,512980.SH,SELL,0.935,248900,232721.5,69.81644999999999,0.002143622722400859,调出候选列表
2020-03-05,512400.SH,SELL,0.73711796696543,269100,198358.4449103972,59.50753347311915,-0.014397905759154646,调出候选列表
2020-03-05,512000.SH,BUY,0.5175,456300,236135.24999999997,70.84057499999999,0.0,行业买入
2020-03-05,159928.SZ,BUY,0.77875,303200,236117.00000000003,70.8351,0.0,行业买入
2020-03-05,511010.SH,BUY,119.273,1900,226618.69999999998,67.98561,0.0,防御填充
2020-03-12,512660.SH,SELL,0.846,235300,199063.8,59.71913999999999,-0.010526315789473694,调出候选列表
2020-03-12,518880.SH,BUY,3.622,63300,229272.6,68.78178,0.0,防御填充
2020-03-13,512000.SH,STOP_LOSS,0.4655,456300,212407.65000000002,63.722295,-0.1004830917874395,"固定止损: 成本盈亏-10.05%, 高点回撤-10.22%"
2020-03-17,159928.SZ,STOP_LOSS,0.7145,303200,216636.4,64.99091999999999,-0.08250401284109153,"固定止损: 成本盈亏-8.25%, 高点回撤-11.76%"
2020-03-17,518880.SH,STOP_LOSS,3.315,63300,209839.5,62.95184999999999,-0.08475980121479844,"固定止损: 成本盈亏-8.48%, 高点回撤-8.48%"
2020-03-18,515880.SH,STOP_LOSS,0.39754082278481,520300,206840.49009493666,62.052147028480995,-0.08931297709924062,"固定止损: 成本盈亏-8.93%, 高点回撤-12.02%"
2020-03-19,511010.SH,SELL,118.975,1900,226052.5,67.81575,-0.00249846989679141,调出候选列表
2020-03-26,511010.SH,BUY,119.628,1800,215330.4,64.59912,0.0,防御填充
2020-04-09,159928.SZ,BUY,0.795,274400,218148.0,65.44439999999999,0.0,行业买入
2020-04-09,512010.SH,BUY,0.5188586,420500,218180.04129999998,65.45401238999999,0.0,行业买入
2020-04-23,511010.SH,SELL,122.689,100,12268.9,5.0,0.025587655064031774,防御减持让路
2020-04-23,512400.SH,BUY,0.64216385966709,345000,221546.53158514606,66.46395947554382,0.0,行业买入
2020-04-23,512660.SH,BUY,0.814,272100,221489.4,66.44681999999999,0.0,行业买入
2020-04-30,512400.SH,SELL,0.62454350985915,345000,215467.51090140673,64.64025327042201,-0.027439024390246366,调出候选列表
2020-04-30,512660.SH,SELL,0.794,272100,216047.40000000002,64.81422,-0.024570024570024458,调出候选列表
2020-04-30,512800.SH,BUY,0.50228249859313,436500,219246.31063590126,65.77389319077037,0.0,行业买入
2020-05-07,511010.SH,SELL,123.492,100,12349.2,5.0,0.03230013040425322,防御减持让路
2020-05-07,512480.SH,BUY,0.9832652,223600,219858.09871999998,65.95742961599998,0.0,行业买入
2020-05-14,511010.SH,SELL,122.444,1600,195910.4,58.77311999999999,0.023539639549269423,调出候选列表
2020-05-14,518880.SH,BUY,3.772,51400,193880.8,58.16423999999999,0.0,防御填充
2020-05-28,159928.SZ,SELL,0.8335,274400,228712.4,68.61371999999999,0.04842767295597481,调出候选列表
2020-05-28,512800.SH,SELL,0.49077602701182,436500,214223.73579065944,64.26712073719783,-0.022908366533851192,调出候选列表
2020-05-28,512480.SH,SELL,0.939474,223600,210066.38640000002,63.01991592,-0.04453650958052814,调出候选列表
2020-06-04,512400.SH,BUY,0.66272093444302,331000,219360.62930063964,65.80818879019189,0.0,行业买入
2020-06-04,159928.SZ,BUY,0.86075,254800,219319.1,65.79572999999999,0.0,行业买入
2020-06-04,512980.SH,BUY,0.868,252700,219343.6,65.80308,0.0,行业买入
2020-06-11,518880.SH,SELL,3.844,51400,197581.6,59.27448,0.019088016967126212,调出候选列表
2020-06-18,512400.SH,SELL,0.68034128425096,331000,225192.96508706774,67.55788952612032,0.02658788774003169,调出候选列表
2020-06-18,515880.SH,BUY,0.37521455696203,607300,227867.80044304082,68.36034013291224,0.0,行业买入
2020-07-02,518880.SH,BUY,3.901,48600,189588.59999999998,56.87657999999999,0.0,防御填充
2020-07-30,512980.SH,SELL,1.01,252700,255227.0,76.56809999999999,0.16359447004608296,调出候选列表
