regime,days,cum_ret_a,cum_ret_c,diff,avg_ind_a,avg_def_a,avg_ind_c,avg_def_c,days_5th_a,days_5th_c,days_def_c
弱牛,315,0.3090935556551282,0.3474983661505311,0.02052514011382911,0.7847930965534751,0.045462188740833215,0.6870572106776001,0.10247271725990913,190,13,190
强牛,215,0.2791378063883896,0.31578063543905777,0.02171341491854384,0.7929655601403481,0.08160262901882347,0.7103138021757505,0.12277556880823683,118,0,172
熊市,826,0.50963095252336,0.41697792061657024,-0.0697292712295895,0.44235429030347995,0.1657056049876485,0.3932988905083799,0.15540753585687192,220,1,670
震荡,301,0.09232759196085705,0.10038599971661077,0.007456001937030665,0.5463215059203191,0.14525394333020672,0.5365269410244573,0.1438959668969053,73,60,196
