period,scenario,regime,total_return,sharpe,max_drawdown,volatility,days
全期,A,弱牛,0.30909355565513286,1.086677742315013,-0.14303394679297346,0.22091224293404838,315
全期,A,强牛,0.279137806388394,1.185961475580824,-0.1310566621929897,0.2753244787267374,215
全期,A,未知,0.0,0.0,0.0,0.0,2
全期,A,熊市,0.5096309525233855,0.9278624276012749,-0.17332565394909127,0.14694842756209453,826
全期,A,震荡,0.09232759196086415,0.4974342940204977,-0.15126119556495748,0.18196187297380098,301
全期,B,弱牛,0.31290244892736574,1.2138749167354046,-0.14342788195107575,0.19522824155280877,315
全期,B,强牛,0.2591645273366543,1.212855935822718,-0.11405730871426917,0.2480745375199152,215
全期,B,未知,0.0,0.0,0.0,0.0,2
全期,B,熊市,0.38031332383123484,0.8206831516927054,-0.16203088601567825,0.1300248112501421,826
全期,B,震荡,0.10859451190859626,0.5897830748801909,-0.1324052310065279,0.17119382366776584,301
全期,C,弱牛,0.3306064703384073,1.2368245195996295,-0.14355780995177989,0.20126893324825645,315
全期,C,强牛,0.3159386727910145,1.4096966375203877,-0.11310152225368567,0.2505949025480302,215
全期,C,未知,0.0,0.0,0.0,0.0,2
全期,C,熊市,0.4232487660035156,0.889112611488799,-0.15971872348723526,0.13062199012506437,826
全期,C,震荡,0.12720488865106105,0.6620363596171952,-0.13162700958032122,0.17440037426723576,301
全期,D,弱牛,0.3821595172134251,1.2243491936482962,-0.17442191392640852,0.23400765604858229,315
全期,D,强牛,0.3133239531759937,1.2376741444444557,-0.13686426444976973,0.29274891525769914,215
全期,D,未知,0.0,0.0,0.0,0.0,2
全期,D,熊市,0.48201766766040066,0.8345478576082773,-0.19488203111694066,0.15874638332012694,826
全期,D,震荡,0.12662646129176447,0.5895057610533233,-0.15576301285177702,0.20497680157301312,301
研究期,A,弱牛,0.05042075402526258,0.4559516606186551,-0.14303394679297346,0.21702583294818717,165
研究期,A,强牛,0.01370285916670877,0.340197215095366,-0.10963398461781182,0.2931017391051163,60
研究期,A,未知,0.0,0.0,0.0,0.0,2
研究期,A,熊市,0.23295982121798997,1.036161628351149,-0.1003541234566246,0.12706645023659968,427
研究期,A,震荡,0.0259448177905115,0.2914957604823299,-0.15126119556495748,0.1987663174131079,169
研究期,B,弱牛,0.06137533204544221,0.5732678530902484,-0.14342788195107575,0.19063382715665322,165
研究期,B,强牛,0.019637683635063796,0.4466268405083742,-0.08564592455830335,0.25466238480233716,60
研究期,B,未知,0.0,0.0,0.0,0.0,2
研究期,B,熊市,0.16500968891239243,0.8395030763560397,-0.11390816209112488,0.11527101071361066,427
研究期,B,震荡,0.04388999239741587,0.4368039782341499,-0.1324052310065279,0.18624645922692598,169
研究期,C,弱牛,0.06717141639327351,0.6223367692303745,-0.14355780995177989,0.18819746164378015,165
研究期,C,强牛,0.02916525038332418,0.590352242209889,-0.08583045405012131,0.2620842931054147,60
研究期,C,未知,0.0,0.0,0.0,0.0,2
研究期,C,熊市,0.18307627188590314,0.9208145419018532,-0.10824850988420054,0.11491498851109605,427
研究期,C,震荡,0.038516089861063696,0.39593155611791164,-0.13162700958032122,0.18582544126267495,169
研究期,D,弱牛,0.07242207214724927,0.5802453880145194,-0.17442191392640852,0.23010512507127942,165
研究期,D,强牛,0.022761499263549867,0.4614171791210401,-0.10468815293587065,0.3038813266222175,60
研究期,D,未知,0.0,0.0,0.0,0.0,2
研究期,D,熊市,0.20565926105721388,0.8504888869520254,-0.13805492652780935,0.14153830951907503,427
研究期,D,震荡,0.05290909156257939,0.4578604506440034,-0.15576301285177702,0.22123670475762028,169
验证期,A,弱牛,0.02591933112592293,0.501453689574202,-0.09581463191929207,0.2348646177028187,71
验证期,A,强牛,0.12039190159571067,1.5222817429420934,-0.1310566621929897,0.21542937552014915,94
验证期,A,熊市,0.12188223569813861,0.6563656252413652,-0.17332565394909127,0.18728635715611874,274
验证期,A,震荡,-0.01366752775142055,-0.752279456212707,-0.0342338406499682,0.09637669876793292,45
验证期,B,弱牛,0.02615118940489003,0.5486151479045946,-0.09317940935432814,0.2040855348483811,71
验证期,B,强牛,0.09361977126773935,1.3009193198459923,-0.11405730871426917,0.19969062681203048,94
验证期,B,熊市,0.09889784995169593,0.6119427850593017,-0.16203088601567825,0.16299940335944524,274
验证期,B,震荡,-0.010287631452339907,-0.5729392378524731,-0.02954101326083675,0.09357224880058936,45
验证期,C,弱牛,0.03149011500875143,0.6416478174491317,-0.09393444832188104,0.20285092640132182,71
验证期,C,强牛,0.10625340973095221,1.4434342956977237,-0.11310152225368567,0.2016032508151663,94
验证期,C,熊市,0.10064061738701424,0.6222215005199994,-0.15971872348723526,0.16253492452273982,274
验证期,C,震荡,-0.007818737812038568,-0.4243683250100233,-0.029310996903992085,0.09348164357709897,45
验证期,D,弱牛,0.02577697208054719,0.48995355668021223,-0.11484931259581153,0.2432037268379705,71
验证期,D,强牛,0.11863749506634358,1.3760562286449007,-0.13686426444976973,0.23911964218064916,94
验证期,D,熊市,0.12048871261945937,0.6247781399111074,-0.19488203111694066,0.19809886943125,274
验证期,D,震荡,-0.012552089078927575,-0.5546776884760786,-0.036495803604522335,0.11567867785221225,45
分析期,A,弱牛,0.07764695737038507,0.4711577962294132,-0.14303394679297346,0.22203892484205426,236
分析期,A,强牛,0.13574447403479684,0.9647151575491755,-0.1310566621929897,0.24776507243044513,154
分析期,A,未知,0.0,0.0,0.0,0.0,2
分析期,A,熊市,0.3832357207540158,0.8364954563394981,-0.17332565394909127,0.15331570415621307,701
分析期,A,震荡,0.011922688521933233,0.1677212947278034,-0.15126119556495748,0.18191010912730385,214
分析期,B,弱牛,0.0891315593834412,0.5664829902551632,-0.14342788195107575,0.19434046452473916,236
分析期,B,强牛,0.11509593035294508,0.9140352079481378,-0.11405730871426917,0.22196276511491045,154
分析期,B,未知,0.0,0.0,0.0,0.0,2
分析期,B,熊市,0.2802266423187214,0.7210325406905599,-0.16203088601567825,0.13582407047293785,701
分析期,B,震荡,0.033150836878845125,0.31010566570154224,-0.1324052310065279,0.17082186549315348,214
分析期,C,弱牛,0.10077676702954919,0.6294953130938327,-0.14355780995177989,0.19228776121383673,236
分析期,C,强牛,0.138517567413162,1.0512968513555807,-0.11310152225368567,0.2262970094624696,154
分析期,C,未知,0.0,0.0,0.0,0.0,2
分析期,C,熊市,0.30214179830442767,0.7678547509357524,-0.15971872348723526,0.1354228480244519,701
分析期,C,震荡,0.030396204840857255,0.2919576405524972,-0.13162700958032122,0.17043909581978814,214
分析期,D,弱牛,0.10006586595955169,0.5530669204621134,-0.17442191392640852,0.23360210537007314,236
分析期,D,强牛,0.1440993615864763,0.9628590145231499,-0.13686426444976973,0.26532804327710585,154
分析期,D,未知,0.0,0.0,0.0,0.0,2
分析期,D,熊市,0.3509275932797269,0.7339399566756066,-0.19488203111694066,0.16582042139217626,701
分析期,D,震荡,0.039692882853273215,0.3268918844488344,-0.15576301285177702,0.20343901726078112,214
