scenario,final_nav,num_trades,total_commission
A,2761288.065599461,804,49409.19685640076
B,2529678.5792682427,542,33780.85712662476
C,2809111.3900402226,672,40620.21304524074
D,3030842.456114171,542,44083.01924319276
