period,regime,total_return,cagr,max_drawdown,sharpe,calmar,volatility,monthly_win_rate,avg_industry_pct,avg_defense_pct,avg_cash_pct,avg_num_positions,num_trades,total_commission,days,scenario
全期,弱牛,1.4337224491678997,0.14913313269084205,-0.14303394679297346,1.086677742315013,1.04264152695651,0.22091224293404838,0.5,0.7847930965534752,0.045462188740833215,0.16974471470569172,4.136507936507937,753,65057.40638926471,315,A
全期,强牛,1.554717975573285,0.15608521352290872,-0.1310566621929897,1.185961475580824,1.1909750401933998,0.2753244787267374,0.6,0.7929655601403481,0.08160262901882347,0.12543181084082844,4.381395348837209,759,65819.14884990147,215,A
全期,未知,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,2,A
全期,熊市,1.4017396359098173,0.1468942643335549,-0.17332565394909127,0.9278624276012749,0.8475044575726816,0.14694842756209453,0.5094339622641509,0.44235429030347995,0.1657056049876485,0.39194010470887153,3.042372881355932,755,64789.14762767114,826,A
全期,震荡,1.761801416734405,0.1600695042429785,-0.15126119556495748,0.4974342940204977,1.0582324412095394,0.18196187297380098,0.5483870967741935,0.5463215059203191,0.14525394333020672,0.3084245507494741,3.4551495016611296,804,68826.54013954641,301,A
全期,弱牛,1.2825177709826994,0.13767074820295666,-0.14342788195107575,1.2138749167354046,0.9598604283225566,0.19522824155280877,0.4642857142857143,0.681298633021075,0.0,0.31870136697892504,3.292063492063492,505,44519.80702372068,315,B
全期,强牛,1.3815979583725029,0.14360854706773063,-0.11405730871426917,1.212855935822718,1.2590911418705468,0.2480745375199152,0.65,0.7116567387255405,0.0,0.2883432612744597,3.3767441860465115,510,45115.91721688523,215,B
全期,未知,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,2,B
全期,熊市,1.2111107268733496,0.13215358373455288,-0.16203088601567825,0.8206831516927054,0.8156073634119706,0.1300248112501421,0.4339622641509434,0.3935827363670777,0.0,0.6064172636329221,1.9346246973365617,507,44425.72212348362,826,B
全期,震荡,1.5267205785137894,0.14508346715842912,-0.1324052310065279,0.5897830748801909,1.095753287506263,0.17119382366776584,0.5161290322580645,0.5042444707042273,0.0,0.49575552929577277,2.4451827242524917,542,47311.13431475217,301,B
全期,弱牛,1.5381520788743899,0.15670365724013102,-0.14355780995177989,1.2368245195996295,1.0915718015813054,0.20126893324825645,0.4642857142857143,0.6801296900556848,0.10880088287299661,0.2110694270713186,3.9365079365079363,625,53892.65194657027,315,C
全期,强牛,1.662197281678191,0.1634759414778839,-0.11310152225368567,1.4096966375203877,1.4453911691056545,0.2505949025480302,0.65,0.7103006765724077,0.12308187360488877,0.1666174498227036,4.176744186046512,631,54666.646796538625,215,C
全期,未知,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,2,C
全期,熊市,1.4726496254909716,0.15212621067805987,-0.15971872348723526,0.889112611488799,0.9524632263306175,0.13062199012506437,0.5094339622641509,0.3933635688290915,0.15202572092035316,0.4546107102505553,2.7469733656174333,628,53857.49487405432,826,C
全期,震荡,1.8060351347587584,0.16276673728447677,-0.13162700958032122,0.6620363596171952,1.2365755159479903,0.17440037426723576,0.5483870967741935,0.5037174356821216,0.140967917856074,0.35531464646180444,3.26578073089701,672,57401.45122956106,301,C
全期,弱牛,1.6682756195733774,0.16577743148886048,-0.17442191392640852,1.2243491936482962,0.950439241016497,0.23400765604858229,0.4642857142857143,0.8251205430968246,0.0,0.17487945690317533,3.292063492063492,505,59072.19739294909,315,D
全期,强牛,1.812306656874986,0.17338683610687533,-0.13686426444976973,1.2376741444444557,1.2668525038580079,0.29274891525769914,0.65,0.8453749791660125,0.0,0.1546250208339875,3.3767441860465115,510,59903.67086067694,215,D
全期,未知,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,2,D
全期,熊市,1.568971820058365,0.15903403191104992,-0.19488203111694066,0.8345478576082773,0.8160528243654243,0.15874638332012694,0.4339622641509434,0.48487015274608547,0.0,0.5151298472539146,1.9346246973365617,507,58900.81552642393,826,D
全期,震荡,2.0264134429799796,0.1756870515021811,-0.15576301285177702,0.5895057610533233,1.1279125145670088,0.20497680157301312,0.5161290322580645,0.6155424176464822,0.0,0.38445758235351774,2.4451827242524917,542,62717.05480512694,301,D
研究期,弱牛,0.16361959322565633,0.05199176843209452,-0.14303394679297346,0.4559516606186551,0.3634925106789308,0.21702583294818717,0.4666666666666667,0.6714798354049771,0.037565456391297825,0.29095470820372515,3.515151515151515,366,26798.114873587183,165,A
研究期,强牛,0.19752738828463334,0.17419677663830413,-0.10963398461781182,0.340197215095366,1.5888939660960113,0.2931017391051163,0.5714285714285714,0.8468157573922286,0.028254697995154752,0.12492954461261659,4.383333333333334,152,10356.472277463557,60,A
研究期,未知,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,2,A
研究期,熊市,0.32833291745550186,0.09830102931890039,-0.1003541234566246,1.036161628351149,0.9795415069455357,0.12706645023659968,0.5185185185185185,0.4572133043123258,0.1400898449559218,0.4026968507317524,2.990632318501171,367,26745.55317601163,427,A
研究期,震荡,0.38919691157419045,0.11656215302361383,-0.15126119556495748,0.2914957604823299,0.7706018228155381,0.1987663174131079,0.5625,0.6170046174795036,0.11253351729385445,0.2704618652266418,3.6568047337278107,368,26139.5605326468,169,A
研究期,弱牛,0.16366018221237688,0.05200404203508224,-0.14342788195107575,0.5732678530902484,0.36257972527838894,0.19063382715665322,0.4,0.5973089340418264,0.0,0.4026910659581737,2.890909090909091,237,18341.292482795943,165,B
研究期,强牛,0.2516509929687205,0.22135891938890784,-0.08564592455830335,0.4466268405083742,2.584582051399516,0.25466238480233716,0.7142857142857143,0.7500830258606249,0.0,0.2499169741393752,3.6,93,6815.516754832649,60,B
研究期,未知,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,2,B
研究期,熊市,0.3180741961041429,0.09549256198012124,-0.11390816209112488,0.8395030763560397,0.838329407015878,0.11527101071361066,0.4444444444444444,0.39989203447793686,0.0,0.6001079655220631,1.9672131147540983,237,18254.532875946614,427,B
研究期,震荡,0.3844509535234142,0.1152813008139022,-0.1324052310065279,0.4368039782341499,0.8706702895161185,0.18624645922692598,0.5,0.5660568217884933,0.0,0.43394317821150674,2.757396449704142,241,18102.784013837358,169,B
研究期,弱牛,0.19451680635209345,0.06125345205686372,-0.14355780995177989,0.6223367692303745,0.4266814329184762,0.18819746164378015,0.4,0.5967863211305796,0.06333416917651424,0.33987950969290615,3.2484848484848485,294,21825.590294808317,165,C
研究期,强牛,0.27572570667340246,0.24226509827026743,-0.08583045405012131,0.590352242209889,2.822600683538211,0.2620842931054147,0.7142857142857143,0.7472786878474084,0.12588687961020453,0.1268344325423872,4.383333333333334,116,8004.954623877811,60,C
研究期,未知,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,2,C
研究期,熊市,0.36155879589522355,0.10729855559536605,-0.10824850988420054,0.9208145419018532,0.9912243199481388,0.11491498851109605,0.5185185185185185,0.39967710591709854,0.14378159983245464,0.45654129425044687,2.730679156908665,295,21756.186372509022,427,C
研究期,震荡,0.41174866568277735,0.12260906482472911,-0.13162700958032122,0.39593155611791164,0.9314886451926175,0.18582544126267495,0.5,0.5662218695541866,0.12731090963104508,0.3064672208147683,3.4911242603550297,300,21699.602557692924,169,C
研究期,弱牛,0.19672515757448727,0.061909288585859645,-0.17442191392640852,0.5802453880145194,0.35493985355521435,0.23010512507127942,0.4,0.7264810593367333,0.0,0.2735189406632666,2.890909090909091,237,23754.132444233077,165,D
研究期,强牛,0.31411189770751835,0.27551056628159065,-0.10468815293587065,0.4614171791210401,2.631726308614515,0.3038813266222175,0.7142857142857143,0.901288022349165,0.0,0.09871197765083499,3.6,93,8681.987394005266,60,D
