date,scenario,industry_pct,defense_pct,cash_pct,num_industry,num_defense,num_positions,top1_weight,top2_weight,top3_weight,top4_weight,top5_weight,weight_order_top4,score_rank_1_weight,score_rank_2_weight,score_rank_3_weight,score_rank_4_weight,score_rank_1_4_weight,full_position,cash_gt_10pct,cash_gt_20pct
2019-08-13,A,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True
2019-08-14,A,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True
2019-08-15,A,0.20125416753461745,0.3957133534053434,0.40303247906003914,1,2,3,0.20125416753461745,0.0,0.0,0.0,0.0,0.20125416753461745,0.20125416753461745,0.0,0.0,0.0,0.20125416753461745,False,True,True
2019-08-16,A,0.20196577095680726,0.3954235279256977,0.40261070111749514,1,2,3,0.20196577095680726,0.0,0.0,0.0,0.0,0.20196577095680726,0.20196577095680726,0.0,0.0,0.0,0.20196577095680726,False,True,True
2019-08-19,A,0.2039482585478968,0.39377508314664733,0.4022766583054559,1,2,3,0.2039482585478968,0.0,0.0,0.0,0.0,0.2039482585478968,0.2039482585478968,0.0,0.0,0.0,0.2039482585478968,False,True,True
2019-08-20,A,0.2058273914319251,0.39242475819899697,0.4017478503690779,1,2,3,0.2058273914319251,0.0,0.0,0.0,0.0,0.2058273914319251,0.0,0.2058273914319251,0.0,0.0,0.2058273914319251,False,True,True
2019-08-21,A,0.20382256344576397,0.39354232670726036,0.4026351098469758,1,2,3,0.20382256344576397,0.0,0.0,0.0,0.0,0.20382256344576397,0.20382256344576397,0.0,0.0,0.0,0.20382256344576397,False,True,True
2019-08-22,A,0.9999283029072927,0.0,7.169709270727835e-05,5,0,5,0.20233641499089416,0.20050145636244443,0.20037926661392919,0.19959969105133896,0.19711147388868597,0.8028168290186067,0.20233641499089416,0.19711147388868597,0.19959969105133896,0.20050145636244443,0.7995490362933635,True,False,False
2019-08-23,A,0.9999285109725383,0.0,7.148902746159632e-05,5,0,5,0.20604470320672652,0.20083496246414062,0.20066759885035498,0.1985170102871983,0.19386423616411794,0.8060642748084204,0.19386423616411794,0.20604470320672652,0.20083496246414062,0.0,0.600743901834985,True,False,False
2019-08-26,A,0.9999283778030816,0.0,7.16221969182695e-05,5,0,5,0.20689767813732882,0.2024303763841152,0.1983735506547196,0.19818008717638141,0.19404668545053666,0.805881692352545,0.20689767813732882,0.2024303763841152,0.19404668545053666,0.19818008717638141,0.8015548271483621,True,False,False
