date,ticker,is_defense,is_gold,is_bond,shares,close_prev,close_t,contribution,market_value,scenario
2019-08-16,512400.SH,False,False,False,314300,0.640206,0.643143,0.000923,201216.759322,B0.4
2019-08-16,511010.SH,True,False,True,1700,115.850000,115.752000,-0.000167,196945.000000,B0.4
2019-08-16,518880.SH,True,True,False,58200,3.414000,3.419000,0.000291,198694.800000,B0.4
2019-08-19,512400.SH,False,False,False,314300,0.643143,0.649995,0.002152,202139.771979,B0.4
2019-08-19,511010.SH,True,False,True,1700,115.752000,115.556000,-0.000333,196778.400000,B0.4
2019-08-19,518880.SH,True,True,False,58200,3.419000,3.402000,-0.000989,198985.800000,B0.4
2019-08-20,512400.SH,False,False,False,314300,0.649995,0.656847,0.002150,204293.468180,B0.4
2019-08-20,511010.SH,True,False,True,1700,115.556000,115.544000,-0.000020,196445.200000,B0.4
2019-08-20,518880.SH,True,True,False,58200,3.402000,3.388000,-0.000813,197996.400000,B0.4
2019-08-21,512400.SH,False,False,False,314300,0.656847,0.649016,-0.002454,206447.164381,B0.4
2019-08-21,511010.SH,True,False,True,1700,115.544000,115.589000,0.000076,196424.800000,B0.4
2019-08-21,518880.SH,True,True,False,58200,3.388000,3.391000,0.000174,197181.600000,B0.4
2019-08-22,512400.SH,False,False,False,314300,0.649016,0.648037,-0.000307,203985.797294,B0.4
2019-08-22,511010.SH,True,False,True,1700,115.589000,115.557000,-0.000054,196501.300000,B0.4
2019-08-22,518880.SH,True,True,False,58200,3.391000,3.401000,0.000582,197356.200000,B0.4
2019-08-23,512400.SH,False,False,False,314300,0.648037,0.645101,-0.000917,203678.126408,B0.4
2019-08-23,512010.SH,False,False,False,461500,0.435370,0.450736,0.007045,200923.255000,B0.4
2019-08-23,512480.SH,False,False,False,353600,0.561138,0.553500,-0.002683,198418.538240,B0.4
2019-08-23,159928.SZ,False,False,False,274600,0.735000,0.737750,0.000750,201831.000000,B0.4
2019-08-23,512660.SH,False,False,False,258600,0.780000,0.775000,-0.001284,201708.000000,B0.4
2019-08-26,512400.SH,False,False,False,314300,0.645101,0.649016,0.001219,202755.113751,B0.4
2019-08-26,512010.SH,False,False,False,461500,0.450736,0.451760,0.000468,208014.664000,B0.4
2019-08-26,512480.SH,False,False,False,353600,0.553500,0.552991,-0.000178,195717.741440,B0.4
2019-08-26,159928.SZ,False,False,False,274600,0.737750,0.727250,-0.002856,202586.150000,B0.4
2019-08-26,512660.SH,False,False,False,258600,0.775000,0.773000,-0.000512,200415.000000,B0.4
2019-08-27,512400.SH,False,False,False,314300,0.649016,0.653911,0.001527,203985.797294,B0.4
2019-08-27,512010.SH,False,False,False,461500,0.451760,0.455602,0.001759,208487.424600,B0.4
2019-08-27,512480.SH,False,False,False,353600,0.552991,0.568267,0.005360,195537.688320,B0.4
2019-08-27,159928.SZ,False,False,False,274600,0.727250,0.746500,0.005246,199702.850000,B0.4
2019-08-27,512660.SH,False,False,False,258600,0.773000,0.789000,0.004106,199897.800000,B0.4
2019-08-28,512400.SH,False,False,False,314300,0.653911,0.649995,-0.001200,205524.151723,B0.4
2019-08-28,512010.SH,False,False,False,461500,0.455602,0.451760,-0.001728,210260.276850,B0.4
2019-08-28,512480.SH,False,False,False,353600,0.568267,0.565721,-0.000878,200939.281920,B0.4
2019-08-28,159928.SZ,False,False,False,274600,0.746500,0.755500,0.002409,204988.900000,B0.4
2019-08-28,512660.SH,False,False,False,258600,0.789000,0.791000,0.000504,204035.400000,B0.4
2019-08-29,512400.SH,False,False,False,314300,0.649995,0.651953,0.000600,204293.468180,B0.4
2019-08-29,512010.SH,False,False,False,461500,0.451760,0.451248,-0.000231,208487.424600,B0.4
2019-08-29,512480.SH,False,False,False,353600,0.565721,0.575396,0.003338,200039.016320,B0.4
2019-08-29,159928.SZ,False,False,False,274600,0.755500,0.757000,0.000402,207460.300000,B0.4
2019-08-29,512660.SH,False,False,False,258600,0.791000,0.793000,0.000505,204552.600000,B0.4
2019-08-30,512400.SH,False,False,False,314300,0.651953,0.651953,0.000000,204908.809951,B0.4
2019-08-30,512010.SH,False,False,False,461500,0.451248,0.454321,0.001377,208251.044300,B0.4
2019-08-30,512480.SH,False,False,False,353600,0.575396,0.575905,0.000175,203460.025600,B0.4
2019-08-30,159928.SZ,False,False,False,274600,0.757000,0.765500,0.002267,207872.200000,B0.4
2019-08-30,512660.SH,False,False,False,258600,0.793000,0.809000,0.004019,205069.800000,B0.4
