date,nav,cash,positions_value,industry_value,defense_value,num_positions,bench_price,max_total_position,positions_pct,positions_detail,daily_return,cumulative_return,bench_return,peak,drawdown,regime_id,regime_name,confidence,reason
2019-08-13,1000000.0,1000000.0,0.0,0.0,0.0,0,3665.7515,1.0,{},{},,0.0,0.0,1000000.0,0.0,,,,
2019-08-14,1000000.0,1000000.0,0.0,0.0,0.0,0,3682.4015,1.0,{},{},0.0,0.0,0.004542042743486574,1000000.0,0.0,,,,
2019-08-15,1001096.2996305209,602934.5403087785,398161.75932174234,201216.7593217423,196945.0,2,3694.0006,1.0,"{'512400.SH': 0.20099640703497385, '511010.SH': 0.19672932571290833}","{'512400.SH': {'shares': 314300, 'cost': 0.63629040973111, 'entry_date': '2019-08-15', 'high_water': 0.63629040973111, 'market_value': 201216.7593217423}, '511010.SH': {'shares': 1700, 'cost': 115.859, 'entry_date': '2019-08-15', 'high_water': 115.859, 'market_value': 196945.0}}",0.001096299630520825,0.001096299630520825,0.007706223403304957,1001096.2996305209,0.0,3.0,震荡,0.65,沪深300在MA20下方或附近（相对MA50: 97.76%）；MA50斜率仍为正但接近0；低波动率，缺乏方向；市场宽度低（29% 行业ETF站上MA50）
2019-08-16,1001852.7122879601,602934.5403087785,398918.1719791816,202139.77197918156,196778.4,2,3710.5386,1.0,"{'512400.SH': 0.20176595771004013, '511010.SH': 0.1964145004414985}","{'512400.SH': {'shares': 314300, 'cost': 0.63629040973111, 'entry_date': '2019-08-15', 'high_water': 0.64118495134443, 'market_value': 202139.77197918156}, '511010.SH': {'shares': 1700, 'cost': 115.859, 'entry_date': '2019-08-15', 'high_water': 115.862, 'market_value': 196778.4}}",0.0007555843106386018,0.0018527122879601343,0.0122177130664749,1001852.7122879601,0.0,3.0,震荡,0.65,沪深300在MA20下方或附近（相对MA50: 98.02%）；MA50斜率仍为正但接近0；低波动率，缺乏方向；市场宽度低（29% 行业ETF站上MA50）
2019-08-19,1003673.2084886506,602934.5403087785,400738.6681798721,204293.4681798721,196445.19999999998,2,3791.0946,1.0,"{'512400.SH': 0.2035458020120921, '511010.SH': 0.19572625665261179}","{'512400.SH': {'shares': 314300, 'cost': 0.63629040973111, 'entry_date': '2019-08-15', 'high_water': 0.64412167631242, 'market_value': 204293.4681798721}, '511010.SH': {'shares': 1700, 'cost': 115.859, 'entry_date': '2019-08-15', 'high_water': 115.862, 'market_value': 196445.19999999998}}",0.0018171295823843359,0.0036732084886506033,0.03419301608415082,1003673.2084886506,0.0,3.0,震荡,0.65,沪深300在MA20下方或附近（相对MA50: 98.38%）；MA50斜率仍为正但接近0；低波动率，缺乏方向
2019-08-20,1005806.5046893412,602934.5403087785,402871.96438056265,206447.16438056267,196424.8,2,3787.7324,1.0,"{'512400.SH': 0.20525534823850344, '511010.SH': 0.19529084280546466}","{'512400.SH': {'shares': 314300, 'cost': 0.63629040973111, 'entry_date': '2019-08-15', 'high_water': 0.64803730960307, 'market_value': 206447.16438056267}, '511010.SH': {'shares': 1700, 'cost': 115.859, 'entry_date': '2019-08-15', 'high_water': 115.862, 'market_value': 196424.8}}",0.002125488837051659,0.005806504689341185,0.03327582352486247,1005806.5046893412,0.0,3.0,震荡,0.65,沪深300高于MA20但接近MA50（相对MA50: 100.42%）；MA50斜率仍为正但接近0；低波动率，缺乏方向；市场宽度高（86% 行业ETF站上MA50）
2019-08-21,1003421.6376028386,602934.5403087785,400487.09729406005,203985.7972940601,196501.3,2,3781.7579,1.0,"{'512400.SH': 0.20329021186086793, '511010.SH': 0.19583123647745834}","{'512400.SH': {'shares': 314300, 'cost': 0.63629040973111, 'entry_date': '2019-08-15', 'high_water': 0.65488966786172, 'market_value': 203985.7972940601}, '511010.SH': {'shares': 1700, 'cost': 115.859, 'entry_date': '2019-08-15', 'high_water': 115.862, 'market_value': 196501.3}}",-0.0023710992873715586,0.0034216376028386453,0.03164600764672687,1005806.5046893412,-0.0023710992873715903,3.0,震荡,0.65,沪深300高于MA20但接近MA50（相对MA50: 100.29%）；MA50斜率仍为正但接近0；低波动率，缺乏方向；市场宽度高（75% 行业ETF站上MA50）
2019-08-22,1006705.1439674784,1197.4081592335424,1005507.7358082449,809060.8358082449,196446.9,5,3793.5061,1.0,"{'512400.SH': 0.20232153141240405, '511010.SH': 0.19513846847528, '512010.SH': 0.20096891350198148, '512480.SH': 0.19843473692079736, '159928.SZ': 0.2019469168487408}","{'512400.SH': {'shares': 314300, 'cost': 0.63629040973111, 'entry_date': '2019-08-15', 'high_water': 0.65488966786172, 'market_value': 203678.12640824492}, '511010.SH': {'shares': 1700, 'cost': 115.859, 'entry_date': '2019-08-15', 'high_water': 115.862, 'market_value': 196446.9}, '512010.SH': {'shares': 464700, 'cost': 0.4315285, 'entry_date': '2019-08-22', 'high_water': 0.4315285, 'market_value': 202316.43899999998}, '512480.SH': {'shares': 356000, 'cost': 0.5631752, 'entry_date': '2019-08-22', 'high_water': 0.5631752, 'market_value': 199765.2704}, '159928.SZ': {'shares': 276600, 'cost': 0.725, 'entry_date': '2019-08-22', 'high_water': 0.725, 'market_value': 203301.0}}",0.003272309706699339,0.006705143967478344,0.03485086209471655,1006705.1439674784,0.0,3.0,震荡,0.65,沪深300高于MA20但接近MA50（相对MA50: 100.09%）；MA50斜率仍为正但接近0；低波动率，缺乏方向；市场宽度高（75% 行业ETF站上MA50）
2019-08-23,1010614.0335100392,1197.4081592335424,1009416.6253508057,813319.9253508056,196096.7,5,3820.8638,1.0,"{'512400.SH': 0.20062566620671365, '511010.SH': 0.19403718283915164, '512010.SH': 0.20725718449853617, '512480.SH': 0.19497665366433148, '159928.SZ': 0.20191848048186922}","{'512400.SH': {'shares': 314300, 'cost': 0.63629040973111, 'entry_date': '2019-08-15', 'high_water': 0.65488966786172, 'market_value': 202755.11375080564}, '511010.SH': {'shares': 1700, 'cost': 115.859, 'entry_date': '2019-08-15', 'high_water': 115.862, 'market_value': 196096.7}, '512010.SH': {'shares': 464700, 'cost': 0.4315285, 'entry_date': '2019-08-22', 'high_water': 0.4356261, 'market_value': 209457.0192}, '512480.SH': {'shares': 356000, 'cost': 0.5631752, 'entry_date': '2019-08-22', 'high_water': 0.5631752, 'market_value': 197046.1424}, '159928.SZ': {'shares': 276600, 'cost': 0.725, 'entry_date': '2019-08-22', 'high_water': 0.735, 'market_value': 204061.65}}",0.0038828544445055346,0.010614033510039311,0.042313915714145,1010614.0335100392,0.0,3.0,震荡,0.65,沪深300高于MA20但接近MA50（相对MA50: 100.34%）；MA50斜率仍为正但接近0；低波动率，缺乏方向；市场宽度高（75% 行业ETF站上MA50）
2019-08-26,1009627.8805332936,1197.4081592335424,1008430.4723740601,811941.07237406,196489.4,5,3765.9105,1.0,"{'512400.SH': 0.20204057477722698, '511010.SH': 0.19461566364056102, '512010.SH': 0.20793112187939153, '512480.SH': 0.19498755035965765, '159928.SZ': 0.19923909975004558}","{'512400.SH': {'shares': 314300, 'cost': 0.63629040973111, 'entry_date': '2019-08-15', 'high_water': 0.65488966786172, 'market_value': 203985.7972940601}, '511010.SH': {'shares': 1700, 'cost': 115.859, 'entry_date': '2019-08-15', 'high_water': 115.862, 'market_value': 196489.4}, '512010.SH': {'shares': 464700, 'cost': 0.4315285, 'entry_date': '2019-08-22', 'high_water': 0.4417725, 'market_value': 209933.05788}, '512480.SH': {'shares': 356000, 'cost': 0.5631752, 'entry_date': '2019-08-22', 'high_water': 0.5631752, 'market_value': 196864.8672}, '159928.SZ': {'shares': 276600, 'cost': 0.725, 'entry_date': '2019-08-22', 'high_water': 0.735, 'market_value': 201157.34999999998}}",-0.0009757958469274186,0.009627880533293665,0.027322910459151473,1010614.0335100392,-0.0009757958469273788,3.0,震荡,0.65,沪深300高于MA20但接近MA50（相对MA50: 100.98%）；MA50斜率仍为正但接近0；低波动率，缺乏方向；市场宽度高（75% 行业ETF站上MA50）
