period,regime,days_a,return_a,max_drawdown_a,sharpe_a,avg_industry_pct_a,avg_defense_pct_a,avg_cash_pct_a,avg_num_positions_a,days_d,return_d,max_drawdown_d,sharpe_d,avg_industry_pct_d,avg_defense_pct_d,avg_cash_pct_d,avg_num_positions_d,d_minus_a_return,d_minus_a_mdd,d_minus_a_sharpe,d_better,d_higher_exposure,d_less_defense,d_fewer_positions
研究期,弱牛,165,0.05042075402526258,-0.14303394679297346,0.4559516606186551,0.6695359341119012,0.03731471731702395,0.2931493485710748,3.515151515151515,165,0.07242207214724927,-0.17442191392640852,0.5802453880145194,0.723746735602681,0.0,0.27625326439731895,2.890909090909091,0.02200131812198669,-0.03138796713343506,0.1242937273958643,1,1,1,1
研究期,强牛,60,0.01370285916670877,-0.10963398461781182,0.340197215095366,0.8478117433480891,0.028939644573019934,0.12324861207889083,4.383333333333334,60,0.022761499263549867,-0.10468815293587065,0.4614171791210401,0.9008026852009189,0.0,0.099197314799081,3.6,0.009058640096841097,0.004945831681941168,0.12121996402567409,1,1,1,1
研究期,未知,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
研究期,熊市,427,0.23295982121798997,-0.1003541234566246,1.036161628351149,0.46084592664272106,0.1391778428024246,0.3999762305548545,2.990632318501171,427,0.20565926105721388,-0.13805492652780935,0.8504888869520254,0.49797987099186897,0.0,0.5020201290081311,1.9672131147540983,-0.02730056016077609,-0.037700803071184744,-0.1856727413991236,0,1,1,1
研究期,震荡,169,0.0259448177905115,-0.15126119556495748,0.2914957604823299,0.6188955740511889,0.11446695470834813,0.2666374712404632,3.6568047337278107,169,0.05290909156257939,-0.15576301285177702,0.4578604506440034,0.6944692128401636,0.0,0.30553078715983645,2.757396449704142,0.026964273772067893,-0.004501817286819532,0.1663646901616735,1,1,1,1
验证期,弱牛,71,0.02591933112592293,-0.09581463191929207,0.501453689574202,0.9335669566852257,0.03561105341967016,0.030821989895103954,4.830985915492958,71,0.02577697208054719,-0.11484931259581153,0.48995355668021223,0.9384912433945817,0.0,0.061508756605418574,3.732394366197183,-0.0001423590453757395,-0.019034680676519464,-0.011500132893989767,0,1,1,1
验证期,强牛,94,0.12039190159571067,-0.1310566621929897,1.5222817429420934,0.6760911884459238,0.15450481224986323,0.16940399930421296,4.212765957446808,94,0.11863749506634358,-0.13686426444976973,1.3760562286449007,0.7596317698037458,0.0,0.24036823019625372,3.0851063829787235,-0.0017544065293670918,-0.005807602256780037,-0.14622551429719266,0,1,1,1
验证期,熊市,274,0.12188223569813861,-0.17332565394909127,0.6563656252413652,0.37085843905845345,0.21526905462807341,0.41387250631347317,2.9014598540145986,274,0.12048871261945937,-0.19488203111694066,0.6247781399111074,0.42296264498540925,0.0,0.5770373550145907,1.6496350364963503,-0.0013935230786792374,-0.02155637716784939,-0.03158748533025779,0,1,1,1
验证期,震荡,45,-0.01366752775142055,-0.0342338406499682,-0.752279456212707,0.4009842305269756,0.22759659464793128,0.37141917482509323,3.111111111111111,45,-0.012552089078927575,-0.036495803604522335,-0.5546776884760786,0.4872786146049066,0.0,0.5127213853950937,1.8888888888888888,0.0011154386724929743,-0.0022619629545541364,0.1976017677366284,1,1,1,1
观察期,弱牛,79,0.21477033522138989,-0.08641143328004598,2.972236973075587,0.8923697923403375,0.06871543370869221,0.03891477395097077,4.810126582278481,79,0.256433419109692,-0.09388892057128614,3.229947524272863,0.9347191657814113,0.0,0.06528083421858882,3.7341772151898733,0.04166308388830209,-0.007477487291240162,0.25771055119727615,1,1,1,1
观察期,强牛,61,0.12625492408885242,-0.10299341282941056,1.6245348090780085,0.8863012900440265,0.028364301946764616,0.08533440800920884,4.639344262295082,61,0.14791074732780185,-0.09804552501799219,1.7825338248295837,0.8900624697638894,0.0,0.10993753023611061,3.6065573770491803,0.021655823238949434,0.004947887811418375,0.15799901575157516,1,1,1,1
观察期,熊市,125,0.09137649489016209,-0.07718599723681009,1.7358632036997055,0.5503276810775342,0.13725205281517208,0.31242026610729373,3.528,125,0.09703708402492506,-0.08691072464813465,1.730820767178234,0.5935868937869903,0.0,0.40641310621300936,2.448,0.005660589134762972,-0.00972472741132456,-0.005042436521471405,1,1,1,1
观察期,震荡,87,0.07945755575099755,-0.07777579014308755,1.302513006937989,0.47307888787476104,0.17148640176219576,0.3554347103630431,3.2413793103448274,87,0.08361467109394494,-0.07466926702086243,1.2137567871659076,0.526223845730876,0.0,0.473776154269124,2.1264367816091956,0.004157115342947382,0.003106523122225119,-0.08875621977208148,1,1,1,1
