label,total_return,cagr,sharpe,max_drawdown,num_trades,pool_size,sample_start,sample_end,comparable
A. 原始B0.4 (18只),1.761288065599461,0.1668212001165854,0.9105973064840147,-0.1775467511695181,804,18,2019-06-03,2026-06-18,是（基线）
B. 剔除7只不足 (11只),1.4163816157646476,0.14341097880234366,0.8606569426223161,-0.1722441896674164,725,11,2019-06-03,2026-06-18,否（池不同）
C. 2019年已可用 (11只),0.7705940026826776,0.09065893185935603,0.7165320384897211,-0.13355778741794488,595,11,2019-06-03,2026-06-18,否（池不同）
D. 2022年起18只 (18只),1.165574234548953,0.20854020866319578,1.096293700093117,-0.1775083764127022,470,18,2022-01-01,2026-06-18,否（样本期不同）
