date,159530.SZ,159697.SZ,159865.SZ,159928.SZ,159996.SZ,511010.SH,512000.SH,512010.SH,512400.SH,512480.SH,512660.SH,512800.SH,512980.SH,515230.SH,515880.SH,516110.SH,516160.SH,518880.SH,000300.SH,status
2019-10-17,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-10-18,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-10-21,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-10-22,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-10-23,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-10-24,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-10-25,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-10-28,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-10-29,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-10-30,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-10-31,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
