period,scenario,avg_top4_weight,weight_order_top4,score_rank_1_4_weight
研究期,A,0.4954309733815766,0.4954309733815766,0.4281931258014175
研究期,B,0.4981512239038557,0.4981512239038557,0.3981547078000476
研究期,C,0.497764379633838,0.497764379633838,0.3978455478291605
研究期,D,0.6089172671777001,0.6089172671777001,0.4873233562979797
验证期,A,0.4582260317518595,0.4582260317518595,0.35048664518483863
验证期,B,0.4619182660061899,0.4619182660061899,0.3330489361502121
验证期,C,0.4613817923189254,0.4613817923189254,0.33271023999718835
验证期,D,0.5646477921901828,0.5646477921901828,0.40790697307651586
