year,a_ret,d_ret,diff_da
2019,0.12222898928491199,0.12434729038205417,0.0021183010971421723
2020,0.13164580220230437,0.23495178774450687,0.1033059855422025
2021,0.022385168739773365,0.017044824295542327,-0.005340344444231038
2022,0.037385924586945674,-0.014027045369412794,-0.05141296995635847
2023,0.029260188861460756,0.059501398384018245,0.03024120952255749
2024,0.23574426018822892,0.19829146074093806,-0.03745279944729085
