date,year,ret_a,ret_c,diff_ret,ind_pct_a,def_pct_a,ind_pct_c,def_pct_c,n_ind_a,n_ind_c,n_def_a,n_def_c,has_5th_a,has_5th_c,has_def_c,regime_name
2019-08-13,2019,,,,0.0,0.0,0.0,0.0,0,0,0,0,False,False,False,
2019-08-14,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,False,False,
2019-08-15,2019,-0.00018587546947912426,-0.00018587546947912426,0.0,0.20125416753461745,0.3957133534053434,0.20125416753461745,0.3957133534053434,1,1,2,2,False,False,True,震荡
2019-08-16,2019,0.0010476073819529752,0.0010476073819529752,0.0,0.20196577095680726,0.3954235279256976,0.20196577095680726,0.3954235279256976,1,1,2,2,False,False,True,震荡
2019-08-19,2019,0.0008303807967540155,0.0008303807967540155,0.0,0.2039482585478968,0.3937750831466473,0.2039482585478968,0.3937750831466473,1,1,2,2,False,False,True,震荡
2019-08-20,2019,0.001316268241117191,0.001316268241117191,0.0,0.2058273914319251,0.39242475819899697,0.2058273914319251,0.39242475819899697,1,1,2,2,False,False,True,震荡
2019-08-21,2019,-0.0022036316659891364,-0.0022036316659891364,0.0,0.20382256344576397,0.39354232670726036,0.20382256344576397,0.39354232670726036,1,1,2,2,False,False,True,震荡
2019-08-22,2019,0.005825564192224464,0.005825564192224464,0.0,0.9999283029072927,0.0,0.9999283029072927,0.0,5,5,0,0,True,True,False,震荡
2019-08-23,2019,0.002910450079822491,0.002910450079822491,0.0,0.9999285109725384,0.0,0.9999285109725384,0.0,5,5,0,0,True,True,False,震荡
2019-08-26,2019,-0.0018593321959274878,-0.0018593321959274878,0.0,0.9999283778030817,0.0,0.9999283778030817,0.0,5,5,0,0,True,True,False,震荡
2019-08-27,2019,0.017998157249007107,0.017998157249007107,0.0,0.9999296440799934,0.0,0.9999296440799934,0.0,5,5,0,0,True,True,False,震荡
2019-08-28,2019,-0.0008921655163390829,-0.0008921655163390829,0.0,0.9999295812548172,0.0,0.9999295812548172,0.0,5,5,0,0,True,True,False,震荡
2019-08-29,2019,0.004614155298709122,0.004614155298709122,0.0,0.9999299046854841,0.0,0.9999299046854841,0.0,5,5,0,0,True,True,False,震荡
2019-08-30,2019,0.007837770032363744,0.007837770032363744,0.0,0.9999304498039266,0.0,0.9999304498039266,0.0,5,5,0,0,True,True,False,震荡
2019-09-02,2019,0.02376753704498924,0.02376753704498924,0.0,0.9999320644642884,0.0,0.9999320644642884,0.0,5,5,0,0,True,True,False,震荡
2019-09-03,2019,0.0037980493824605333,0.0037980493824605333,0.0,0.9999323215105335,0.0,0.9999323215105335,0.0,5,5,0,0,True,True,False,震荡
2019-09-04,2019,0.0030087231382127655,0.0030087231382127655,0.0,0.9999325245255547,0.0,0.9999325245255547,0.0,5,5,0,0,True,True,False,震荡
2019-09-05,2019,0.005135551474487521,0.005135551474487521,0.0,0.9999328692788289,0.0,0.9999328692788289,0.0,5,5,0,0,True,True,False,震荡
2019-09-06,2019,-0.0010373127632958834,-0.0010373127632958834,0.0,0.999932799570966,0.0,0.999932799570966,0.0,5,5,0,0,True,True,False,震荡
2019-09-09,2019,0.01818783781777089,0.01818783781777089,0.0,0.999933999968829,0.0,0.999933999968829,0.0,5,5,0,0,True,True,False,震荡
2019-09-10,2019,-0.005092853067273251,-0.005092853067273251,0.0,0.9999336621197521,0.0,0.9999336621197521,0.0,5,5,0,0,True,True,False,震荡
2019-09-11,2019,-0.015327669932454602,-0.015327669932454602,0.0,0.999932629486762,0.0,0.999932629486762,0.0,5,5,0,0,True,True,False,震荡
2019-09-12,2019,0.004169697684903273,0.004169697684903273,0.0,0.9999710999431587,0.0,0.9999710999431587,0.0,5,5,0,0,True,True,False,震荡
2019-09-16,2019,0.00216189408619627,0.00216189408619627,0.0,0.9999711622872394,0.0,0.9999711622872394,0.0,5,5,0,0,True,True,False,震荡
2019-09-17,2019,-0.027383661554592154,-0.027383661554592154,0.0,0.9999703503718571,0.0,0.9999703503718571,0.0,5,5,0,0,True,True,False,震荡
2019-09-18,2019,-0.0016938821841341323,-0.0016938821841341323,0.0,0.999970300063664,0.0,0.999970300063664,0.0,5,5,0,0,True,True,False,震荡
2019-09-19,2019,0.008714898892071998,0.008714898892071998,0.0,0.9999922951386591,0.0,0.9999922951386591,0.0,5,5,0,0,True,True,False,震荡
2019-09-20,2019,0.007343346764796976,0.007343346764796976,0.0,0.9999923513056739,0.0,0.9999923513056739,0.0,5,5,0,0,True,True,False,震荡
2019-09-23,2019,-0.0017548478572607662,-0.0017548478572607662,0.0,0.9999923378597835,0.0,0.9999923378597835,0.0,5,5,0,0,True,True,False,震荡
2019-09-24,2019,0.003292286804730926,0.003292286804730926,0.0,0.999992363002968,0.0,0.999992363002968,0.0,5,5,0,0,True,True,False,震荡
2019-09-25,2019,-0.018429526697833598,-0.018429526697833598,0.0,0.9999922196141391,0.0,0.9999922196141391,0.0,5,5,0,0,True,True,False,震荡
2019-09-26,2019,-0.012928012844122594,-0.012928012844122594,0.0,0.4143070323203807,0.20156466719124622,0.4143070323203807,0.20156466719124622,2,2,1,1,False,False,True,震荡
2019-09-27,2019,0.0031961801729187833,0.0031961801729187833,0.0,0.41633472100522684,0.20076081017775507,0.41633472100522684,0.20076081017775507,2,2,1,1,False,False,True,震荡
2019-09-30,2019,-0.004732601044670881,-0.004732601044670881,0.0,0.41314362121893633,0.20213115898693657,0.41314362121893633,0.20213115898693657,2,2,1,1,False,False,True,震荡
2019-10-08,2019,-0.004631923161487417,-0.004631923161487417,0.0,0.41049692897584694,0.2029875409942057,0.41049692897584694,0.2029875409942057,2,2,1,1,False,False,True,震荡
2019-10-09,2019,0.002682735196388064,0.002682735196388064,0.0,0.41187641538941777,0.20264219906120057,0.41187641538941777,0.20264219906120057,2,2,1,1,False,False,True,震荡
2019-10-10,2019,-0.00016517082802136596,-0.00016517082802136596,0.0,0.20018677816087382,0.20250938687494524,0.20018677816087382,0.20250938687494524,1,1,1,1,False,False,True,震荡
2019-10-11,2019,0.00413372923860722,0.00413372923860722,0.0,0.20359268656035664,0.20156240626070454,0.20359268656035664,0.20156240626070454,1,1,1,1,False,False,True,震荡
