year,scenario,total_return,sharpe,max_drawdown,volatility,days
2019,A,0.12222898928491466,2.2898856799448226,-0.06897501814836127,0.13776856128161527,95
2020,A,0.13164580220230881,0.6836488904851452,-0.15126119556495748,0.22526026101683927,243
2021,A,0.022385168739780914,0.21597538202228567,-0.15427740147191668,0.18546205534348867,243
2022,A,0.03738592458694989,0.36380830274195247,-0.12427085382668376,0.12716727061362365,242
2023,A,0.02926018886146564,0.2645527353452721,-0.1620396729990545,0.16465481725633832,242
2024,A,0.2357442601882338,1.1110646494835645,-0.11412801954443283,0.21967970080205623,242
2025,A,0.35574951222078033,1.7021411733448257,-0.11362627993415222,0.19687604999334546,243
2026,A,0.18886239600405053,1.9027461762109463,-0.08641143328004598,0.22337704782103276,109
2019,B,0.099574276381873,2.125451132998562,-0.057548482624254334,0.12199405826730148,95
2020,B,0.18855034633274803,1.0085179978865468,-0.1349449278073109,0.19712117903438672,243
2021,B,0.018231622006057435,0.19440332244589928,-0.15046868768260588,0.17196245035746566,243
2022,B,-0.010967861386616762,-0.040324551634221856,-0.12387148692476657,0.11670472678027288,242
2023,B,0.05031545233130852,0.4123498588927139,-0.12923277156506977,0.15180005332748517,242
2024,B,0.16204854830789683,0.915609531277616,-0.10822322628623084,0.19017717322686561,242
2025,B,0.3237363979644925,1.7253318125551764,-0.09607424919556971,0.1777643941651006,243
2026,B,0.18965399282015838,2.0393587926414223,-0.0816363684584343,0.20752093596634608,109
2019,C,0.09631852349067893,2.0391879404687465,-0.060258196622115165,0.12337438718832555,95
2020,C,0.2069051922275833,1.0881341528083839,-0.13162700958032122,0.19734236311314268,243
2021,C,0.016400381718927104,0.1835543201136564,-0.15021891352299327,0.17193466453116032,243
2022,C,0.003391793451836378,0.08814046817230693,-0.1153634748751121,0.11606819931309403,242
2023,C,0.06391567075955118,0.4983983773276985,-0.1312889988815958,0.15278585112107454,242
2024,C,0.17124848875440746,0.9622100465789819,-0.11007811335468795,0.18935701192372045,242
2025,C,0.3762955782186279,1.9153374276090935,-0.09649970995444855,0.18159538636751532,243
2026,C,0.2138240130411766,2.0537328790052793,-0.10062792096864583,0.2313225838482587,109
2019,D,0.12434729038205727,2.1492223785782842,-0.07020316199440993,0.14992511247254597,95
2020,D,0.23495178774451353,1.0568674232391246,-0.158182851692779,0.23318061689148445,243
2021,D,0.01704482429554921,0.18774031953512857,-0.1828277598659243,0.20976354592944435,243
2022,D,-0.014027045369408797,-0.03189839606308157,-0.1491472513406024,0.142851458560065,242
2023,D,0.05950139838402291,0.41929320635658385,-0.15495373736949072,0.1835427562839148,242
2024,D,0.1982914607409445,0.9339983375111921,-0.12553105440190476,0.22913711023008282,242
2025,D,0.3905103982258544,1.7371423626676086,-0.10821992534931994,0.20948361738442706,243
2026,D,0.23301836591743053,2.083850603743797,-0.09388892057128614,0.2471802714346341,109
