date,nav,cash,positions_value,industry_value,defense_value,num_positions,bench_price,max_total_position,positions_pct,positions_detail,daily_return,cumulative_return,bench_return,peak,drawdown,regime_id,regime_name,confidence,reason
2019-08-13,1000000.0,1000000.0,0.0,0.0,0.0,0,3665.7515,1.0,{},{},,0.0,0.0,1000000.0,0.0,,,,
2019-08-14,1000000.0,1000000.0,0.0,0.0,0.0,0,3682.4015,1.0,{},{},0.0,0.0,0.004542042743486574,1000000.0,0.0,,,,
2019-08-15,1001463.4527693053,749926.4984660519,251536.9543032534,251536.9543032534,0.0,1,3694.0006,1.0,{'512400.SH': 0.25116937977885134},"{'512400.SH': {'shares': 392900, 'cost': 0.63629040973111, 'entry_date': '2019-08-15', 'high_water': 0.63629040973111, 'market_value': 251536.9543032534}}",0.0014634527693053734,0.0014634527693053734,0.007706223403304957,1001463.4527693053,0.0,3.0,震荡,0.65,沪深300在MA20下方或附近（相对MA50: 97.76%）；MA50斜率仍为正但接近0；低波动率，缺乏方向；市场宽度低（29% 行业ETF站上MA50）
2019-08-16,1002617.2920092286,749926.4984660519,252690.7935431767,252690.7935431767,0.0,1,3710.5386,1.0,{'512400.SH': 0.25203115441664536},"{'512400.SH': {'shares': 392900, 'cost': 0.63629040973111, 'entry_date': '2019-08-15', 'high_water': 0.64118495134443, 'market_value': 252690.7935431767}}",0.0011521531182516753,0.0026172920092286667,0.0122177130664749,1002617.2920092286,0.0,3.0,震荡,0.65,沪深300在MA20下方或附近（相对MA50: 98.02%）；MA50斜率仍为正但接近0；低波动率，缺乏方向；市场宽度低（29% 行业ETF站上MA50）
2019-08-19,1005309.5835690482,749926.4984660519,255383.08510299635,255383.08510299635,0.0,1,3791.0946,1.0,{'512400.SH': 0.25403426892274894},"{'512400.SH': {'shares': 392900, 'cost': 0.63629040973111, 'entry_date': '2019-08-15', 'high_water': 0.64412167631242, 'market_value': 255383.08510299635}}",0.0026852634412721788,0.005309583569048204,0.03419301608415082,1005309.5835690482,0.0,3.0,震荡,0.65,沪深300在MA20下方或附近（相对MA50: 98.38%）；MA50斜率仍为正但接近0；低波动率，缺乏方向
2019-08-20,1008001.8751288679,749926.4984660519,258075.376662816,258075.376662816,0.0,1,3787.7324,1.0,{'512400.SH': 0.2560266831148726},"{'512400.SH': {'shares': 392900, 'cost': 0.63629040973111, 'entry_date': '2019-08-15', 'high_water': 0.64803730960307, 'market_value': 258075.376662816}}",0.0026780721121364426,0.008001875128867963,0.03327582352486247,1008001.8751288679,0.0,3.0,震荡,0.65,沪深300高于MA20但接近MA50（相对MA50: 100.42%）；MA50斜率仍为正但接近0；低波动率，缺乏方向；市场宽度高（86% 行业ETF站上MA50）
2019-08-21,1004924.9704890752,749926.4984660519,254998.47202302326,254998.47202302326,0.0,1,3781.7579,1.0,{'512400.SH': 0.253748766834723},"{'512400.SH': {'shares': 392900, 'cost': 0.63629040973111, 'entry_date': '2019-08-15', 'high_water': 0.65488966786172, 'market_value': 254998.47202302326}}",-0.0030524790833343918,0.004924970489075253,0.03164600764672687,1008001.8751288679,-0.0030524790833344217,3.0,震荡,0.65,沪深300高于MA20但接近MA50（相对MA50: 100.29%）；MA50斜率仍为正但接近0；低波动率，缺乏方向；市场宽度高（75% 行业ETF站上MA50）
2019-08-22,1009083.3359519211,15.101928874850273,1009068.2340230462,1009068.2340230462,0.0,4,3793.5061,1.0,"{'512400.SH': 0.2523219340480493, '512010.SH': 0.2498532658476214, '512480.SH': 0.24673592280178414, '159928.SZ': 0.25107391131476514}","{'512400.SH': {'shares': 392900, 'cost': 0.63629040973111, 'entry_date': '2019-08-15', 'high_water': 0.65488966786172, 'market_value': 254613.85894304622}, '512010.SH': {'shares': 579100, 'cost': 0.4315285, 'entry_date': '2019-08-22', 'high_water': 0.4315285, 'market_value': 252122.767}, '512480.SH': {'shares': 443700, 'cost': 0.5631752, 'entry_date': '2019-08-22', 'high_water': 0.5631752, 'market_value': 248977.10808}, '159928.SZ': {'shares': 344700, 'cost': 0.725, 'entry_date': '2019-08-22', 'high_water': 0.725, 'market_value': 253354.5}}",0.004137986003892591,0.009083335951921123,0.03485086209471655,1009083.3359519211,0.0,3.0,震荡,0.65,沪深300高于MA20但接近MA50（相对MA50: 100.09%）；MA50斜率仍为正但接近0；低波动率，缺乏方向；市场宽度高（75% 行业ETF站上MA50）
2019-08-23,1014386.8917119978,15.101928874850273,1014371.789783123,1014371.789783123,0.0,4,3820.8638,1.0,"{'512400.SH': 0.24986523561572666, '512010.SH': 0.2573191942173761, '512480.SH': 0.24210498921719778, '159928.SZ': 0.250695693209136}","{'512400.SH': {'shares': 392900, 'cost': 0.63629040973111, 'entry_date': '2019-08-15', 'high_water': 0.65488966786172, 'market_value': 253460.01970312293}, '512010.SH': {'shares': 579100, 'cost': 0.4315285, 'entry_date': '2019-08-22', 'high_water': 0.4356261, 'market_value': 261021.2176}, '512480.SH': {'shares': 443700, 'cost': 0.5631752, 'entry_date': '2019-08-22', 'high_water': 0.5631752, 'market_value': 245588.12748}, '159928.SZ': {'shares': 344700, 'cost': 0.725, 'entry_date': '2019-08-22', 'high_water': 0.735, 'market_value': 254302.42500000002}}",0.005255815422889443,0.014386891711997807,0.042313915714145,1014386.8917119978,0.0,3.0,震荡,0.65,沪深300高于MA20但接近MA50（相对MA50: 100.34%）；MA50斜率仍为正但接近0；低波动率，缺乏方向；市场宽度高（75% 行业ETF站上MA50）
2019-08-26,1012673.292031898,15.101928874850273,1012658.1901030232,1012658.1901030232,0.0,4,3765.9105,1.0,"{'512400.SH': 0.2518072452679942, '512010.SH': 0.25834042400296603, '512480.SH': 0.24229156369641017, '159928.SZ': 0.24754585409970875}","{'512400.SH': {'shares': 392900, 'cost': 0.63629040973111, 'entry_date': '2019-08-15', 'high_water': 0.65488966786172, 'market_value': 254998.47202302326}, '512010.SH': {'shares': 579100, 'cost': 0.4315285, 'entry_date': '2019-08-22', 'high_water': 0.4417725, 'market_value': 261614.44764}, '512480.SH': {'shares': 443700, 'cost': 0.5631752, 'entry_date': '2019-08-22', 'high_water': 0.5631752, 'market_value': 245362.19544}, '159928.SZ': {'shares': 344700, 'cost': 0.725, 'entry_date': '2019-08-22', 'high_water': 0.735, 'market_value': 250683.07499999998}}",-0.0016892959620246062,0.012673292031898153,0.027322910459151473,1014386.8917119978,-0.0016892959620245897,3.0,震荡,0.65,沪深300高于MA20但接近MA50（相对MA50: 100.98%）；MA50斜率仍为正但接近0；低波动率，缺乏方向；市场宽度高（75% 行业ETF站上MA50）
2019-08-27,1030234.4062817676,15.101928874850273,1030219.3043528928,1030219.3043528928,0.0,4,3816.9459,1.0,"{'512400.SH': 0.24938163184643733, '512010.SH': 0.25609614538328707, '512480.SH': 0.24474057078912972, '159928.SZ': 0.24976699325029508}","{'512400.SH': {'shares': 392900, 'cost': 0.63629040973111, 'entry_date': '2019-08-15', 'high_water': 0.65488966786172, 'market_value': 256921.53742289272}, '512010.SH': {'shares': 579100, 'cost': 0.4315285, 'entry_date': '2019-08-22', 'high_water': 0.4530409, 'market_value': 263839.06029}, '512480.SH': {'shares': 443700, 'cost': 0.5631752, 'entry_date': '2019-08-22', 'high_water': 0.5631752, 'market_value': 252140.15664}, '159928.SZ': {'shares': 344700, 'cost': 0.725, 'entry_date': '2019-08-22', 'high_water': 0.735, 'market_value': 257318.55000000002}}",0.017341342353992317,0.030234406281767656,0.0412451307733217,1030234.4062817676,0.0,3.0,震荡,0.65,沪深300高于MA20但接近MA50（相对MA50: 99.47%）；MA50斜率仍为正但接近0；低波动率，缺乏方向；市场宽度高（75% 行业ETF站上MA50）
