period,regime_id,regime_name,days,strat_cum_ret,bench_cum_ret,excess_ret,strat_mean_daily,bench_mean_daily,strat_vol_daily,bench_vol_daily,cagr,bench_cagr,vol,bench_vol,sharpe,max_drawdown,daily_win_rate,avg_industry_pct,avg_defense_pct,avg_cash_pct,avg_num_positions,trade_count,buy_count,sell_count,stop_loss_count,trade_win_rate,avg_trade_pnl,growth_factor,bench_growth_factor
全区间,1,强牛,154,0.13574447403479506,0.017461577346012946,0.11625293703700912,0.0009485028606544529,0.00017942647302525156,0.015607732505211061,0.011584355187767683,0.23157032722699,0.028731909243416398,0.24776507243044557,0.18389593755524544,0.9346366901331427,-0.1310566621929897,0.5714285714285714,0.7485540597232223,0.10456749634936197,0.14687844392741578,4.279220779220779,86.0,35.0,51.0,0.0,0.5882352941176471,0.050731674250662696,1.135744474034795,1.017461577346013
全区间,2,弱牛,236,0.07764695737038219,-0.05657754885853439,0.14227402163952707,0.0004151403591497281,-0.00016015887151323463,0.013987137535910443,0.013146511222531364,0.08312431190663827,-0.06029535463620317,0.2220389248420548,0.20869439581762628,0.3743681967734618,-0.14303394679297363,0.5,0.748567940823954,0.0379286214095285,0.21350343776651748,3.9110169491525424,112.0,53.0,59.0,6.0,0.4576271186440678,0.010050025673232611,1.0776469573703822,0.9434224511414656
全区间,3,震荡,214,0.011922688521929015,-0.10590289487249716,0.13178164062797593,0.0001210722183607473,-0.00046484028038718916,0.01145925975522543,0.010777572028617871,0.014054615045052232,-0.12349971150128791,0.1819101091273043,0.17108865194885275,0.0772613194092283,-0.1512611955649573,0.5420560747663551,0.569846018903977,0.13662386336748472,0.2935301177285383,3.542056074766355,118.0,60.0,58.0,4.0,0.4827586206896552,0.010107207214949886,1.011922688521929,0.8940971051275028
全区间,4,熊市,701,0.3832357207539978,0.24507310030631357,0.11096747686034925,0.00050892019806414,0.00038674749943743493,0.009657981554240302,0.012200750462462127,0.12369972066042956,0.08198504632895487,0.15331570415621348,0.1936809091921865,0.8068300722435572,-0.17332565394909127,0.4764621968616263,0.4198070834994477,0.17052724703912317,0.4096656694614291,2.955777460770328,326.0,173.0,153.0,4.0,0.43137254901960786,-0.002523330347469983,1.3832357207539978,1.2450731003063136
全区间,0,warmup/NaN,2,0.0,0.004542042743486574,-0.004521505870557552,,,,,,,,,,,,,,,,,,,,,,1.0,1.0045420427434866
研究期(2019-2022),1,强牛,60,0.013702859166707881,0.01994019978757522,-0.006115398355870716,0.0003956841086633726,0.0004345648941058137,0.018463674059825585,0.014582241678571028,0.05882654352303396,0.08646009417717337,0.2931017391051169,0.2314859102360401,0.20070349532090845,-0.10963398461781182,0.5333333333333333,0.8468157573922286,0.028254697995154752,0.12492954461261657,4.383333333333334,35.0,12.0,23.0,0.0,0.6956521739130435,0.05819250667128513,1.0137028591667079,1.0199401997875752
研究期(2019-2022),2,弱牛,165,0.05042075402526103,-0.010983977147778101,0.062086689956704744,0.00039267178146775583,3.142195415992497e-05,0.013671342429941726,0.014006027238930564,0.07802188133141041,-0.016726866143359498,0.21702583294818772,0.22233878958124145,0.35950504265562333,-0.14303394679297363,0.5212121212121212,0.6714798354049771,0.037565456391297825,0.29095470820372515,3.515151515151515,84.0,40.0,44.0,6.0,0.4090909090909091,0.0039031451488066816,1.050420754025261,0.9890160228522219
研究期(2019-2022),3,震荡,169,0.025944817790507946,-0.11793531778978927,0.163117443065256,0.00022991880497066135,-0.0006770973469288465,0.01252110106883838,0.011417603067664029,0.038932350042741426,-0.17065663611477455,0.19876631741310835,0.1812488297129232,0.19586995698987525,-0.1512611955649573,0.5325443786982249,0.6170046174795037,0.11253351729385445,0.2704618652266418,3.6568047337278107,94.0,47.0,47.0,4.0,0.46808510638297873,0.013148609995682764,1.025944817790508,0.8820646822102107
研究期(2019-2022),4,熊市,427,0.23295982121797976,0.181638584277376,0.04343226230378128,0.0005224657935950611,0.0004637133719440197,0.008004433983471629,0.01207600475941758,0.13155267341801258,0.10351396687349856,0.12706645023660015,0.1917006325479078,1.035306118751716,-0.1003541234566246,0.4566744730679157,0.4572133043123258,0.1400898449559218,0.4026968507317523,2.990632318501171,198.0,107.0,91.0,2.0,0.4175824175824176,-0.003091399315642193,1.2329598212179798,1.181638584277376
研究期(2019-2022),0,warmup/NaN,2,0.0,0.004542042743486574,-0.004521505870557552,,,,,,,,,,,,,,,,,,,,,,1.0,1.0045420427434866
验证期(2023-2024),1,强牛,94,0.12039190159570934,-0.0024301644763864427,0.12312127101119463,0.0013013658938402489,1.6572161697233185e-05,0.013570775064863374,0.00926313150590195,0.3562929755097983,-0.0065016104922226425,0.21542937552014957,0.1470476539578228,1.6538736866759078,-0.1310566621929897,0.5957446808510638,0.6858338271685374,0.15327779317119636,0.16088837966026637,4.212765957446808,51.0,23.0,28.0,0.0,0.5,0.04460313333372283,1.1203919015957093,0.9975698355236136
验证期(2023-2024),2,弱牛,71,0.025919331125921596,-0.05009066493386494,0.08001815884301688,0.0004673560678472694,-0.0006740469748404159,0.014795080243093275,0.011033533882310494,0.09507554529806561,-0.1667268859421851,0.23486461770281913,0.17515192040879143,0.4048099974699782,-0.09581463191929207,0.4507042253521127,0.9277163548258021,0.03877259645189557,0.0335110487223024,4.830985915492958,28.0,13.0,15.0,0.0,0.6,0.02808087521154868,1.0259193311259216,0.9499093350661351
验证期(2023-2024),3,震荡,45,-0.013667527751421438,0.013641202465041635,-0.026941219585442933,-0.0002877071846853744,0.0003323029250692574,0.00607116136003183,0.007983325004266193,-0.07417126633904969,0.07882705789174227,0.0963766987679334,0.12673135558015206,-0.7695974990557373,-0.03423384064996807,0.5777777777777777,0.392739282031443,0.22709649639956292,0.38016422156899404,3.111111111111111,24.0,13.0,11.0,0.0,0.5454545454545454,-0.00288787739363605,0.9863324722485786,1.0136412024650416
验证期(2023-2024),4,熊市,274,0.12188223569813306,0.05368351784799752,0.06472410044851218,0.00048781082108712053,0.0002668043331589251,0.011797931547388412,0.012413925396803497,0.11157022854606069,0.04926875586586554,0.1872863571561191,0.19706495636430524,0.595719999257914,-0.17332565394909127,0.5072992700729927,0.36151344741514474,0.21796071670892972,0.4205258358759255,2.9014598540145986,128.0,66.0,62.0,2.0,0.45161290322580644,-0.0016895517006365794,1.121882235698133,1.0536835178479975
验证期(2023-2024),0,warmup/NaN,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
