date,ticker,action,price,shares,amount,commission,pnl_pct,reason
2023-07-13,515880.SH,SELL,0.40720443037975,806500,328410.3731012684,98.52311193038051,0.09107142857143041,调出候选列表
2023-07-13,159996.SZ,SELL,1.143,272100,311010.3,93.30308999999998,0.015097690941385548,调出候选列表
2023-07-13,512660.SH,SELL,1.092,280400,306196.80000000005,91.85904000000001,-0.0009149130832569898,调出候选列表
2023-07-13,512400.SH,BUY,1.0484108135723,294200,308442.4613529707,92.5327384058912,0.0,行业买入
2023-07-13,159865.SZ,BUY,0.7,440700,308490.0,92.547,0.0,行业买入
2023-07-20,512400.SH,SELL,1.040579546991,294200,306138.5027247522,91.84155081742564,-0.007469654528472689,调出候选列表
2023-07-20,159697.SZ,BUY,1.007,306500,308645.49999999994,92.59364999999997,0.0,行业买入
2023-07-27,516110.SH,SELL,1.099,304800,334975.2,100.49256,0.09353233830845781,调出候选列表
2023-07-27,159697.SZ,SELL,0.995,306500,304967.5,91.49024999999999,-0.01191658391261162,调出候选列表
2023-07-27,512000.SH,BUY,0.452,682900,308670.8,92.60123999999999,0.0,行业买入
2023-07-27,512800.SH,BUY,0.55931457512662,551900,308685.71401238156,92.60571420371446,0.0,行业买入
2023-07-27,512400.SH,BUY,1.052326446863,293300,308647.3468649179,92.59420405947536,0.0,行业买入
2023-08-03,511010.SH,SELL,129.154,2000,258308.0,77.49239999999999,0.015960668633234976,调出候选列表
2023-08-03,518880.SH,BUY,4.41,65400,288414.0,86.5242,0.0,防御填充
2023-08-10,159865.SZ,SELL,0.702,440700,309371.39999999997,92.81141999999998,0.0028571428571428597,调出候选列表
2023-08-10,518880.SH,SELL,4.395,65400,287433.0,86.22989999999999,-0.0034013605442178158,调出候选列表
2023-08-10,159928.SZ,BUY,0.978,323300,316187.39999999997,94.85621999999998,0.0,行业买入
2023-08-10,511010.SH,BUY,129.35,2100,271635.0,81.4905,0.0,防御填充
2023-08-17,512800.SH,SELL,0.55731344963421,551900,307581.29285312054,92.27438785593615,-0.0035778175313184277,调出候选列表
2023-08-17,512400.SH,SELL,0.99946539743918,293300,293143.20106891147,87.94296032067344,-0.05023255813953894,调出候选列表
2023-08-17,159928.SZ,SELL,0.936,323300,302608.80000000005,90.78264,-0.042944785276073545,调出候选列表
2023-08-24,512000.SH,SELL,0.4705,682900,321304.44999999995,96.39133499999998,0.04092920353982292,调出候选列表
2023-08-31,511010.SH,SELL,129.649,2100,272262.9,81.67887,0.0023115577889447746,调出候选列表
2023-08-31,518880.SH,BUY,4.488,67700,303837.60000000003,91.15128,0.0,防御填充
2023-09-14,159697.SZ,BUY,1.0,305100,305100.0,91.52999999999999,0.0,行业买入
2023-09-21,512800.SH,BUY,0.56431738885763,540600,305069.9804164348,91.52099412493044,0.0,行业买入
2023-09-28,518880.SH,SELL,4.463,67700,302145.1,90.64352999999998,-0.005570409982174767,调出候选列表
