exclude_year,a_ret,b_ret,c_ret,d_ret,diff_da
2019,0.5265786541056006,0.4608936280298557,0.5337859995059451,0.5722409308263623,0.04566227672076173
2020,0.5138754694506282,0.3515296671009498,0.3932477987152072,0.43142821278144905,-0.08244725666917918
2021,0.6756608687629546,0.5775988676791104,0.6543854494478543,0.7381188991614032,0.06245803039844855
2022,0.6514305616234191,0.6241747777417295,0.6758339198134475,0.792893833548096,0.1414632719246769
2023,0.6644681671365387,0.5294081890790974,0.5804993276662298,0.6684686146696837,0.004000447533144991
2024,0.38634738210307074,0.3823527908975093,0.43566290029307586,0.4752210862867432,0.08887370418367246
