variant,total_return,cagr,sharpe,max_drawdown,calmar,num_trades,num_buy,num_sell,num_stop,turnover_ratio,total_commission,oos_2025_2026_return,oos_2025_2026_sharpe,oos_2025_2026_mdd,struct_bull_2020_return,struct_bull_2020_sharpe,struct_bull_2020_mdd,bear_2022_return,bear_2022_sharpe,bear_2022_mdd,rebound_2024_2026_return,rebound_2024_2026_sharpe,rebound_2024_2026_mdd
B0.4 基线,1.761288065599461,0.1668212001165854,0.9105973064840147,-0.1775467511695181,0.9395902713945345,804,399,388,17,23.25641342427375,68826.54013954641,0.6419247469091884,1.7692828015788766,-0.11362627993415222,0.10159457594916232,0.6836488904851531,-0.1512611955649573,0.030492530108761295,0.363808302741949,-0.12427085382668376,0.9905535354549102,1.490384792505174,-0.15058775847509315
A: 跌出Top8才卖,1.9161404571938556,0.17653218833871032,0.8426752961268846,-0.32473942524523797,0.543611814935609,380,188,144,48,10.913150910524738,35251.351985494824,0.8234400681650307,1.7611530093275314,-0.1289105890270942,0.26957947298263907,1.1584160833636559,-0.19791289914864443,-0.17882558275330018,-1.2189046630681624,-0.21019322255557674,0.9771559927126736,1.304166223209032,-0.19166944138082467
B: 跌出Top10才卖,1.5061119386972681,0.14976124457246764,0.7451599572344569,-0.34872349817298587,0.4294555582204498,303,150,110,43,8.550439311482133,25401.441290327188,0.6853007400189084,1.595054569216799,-0.1411532401634555,0.24759882028568447,1.105246105169359,-0.1937585282046907,-0.13111126833050402,-0.8275111990414026,-0.16691825971628954,0.916866646613445,1.2866205307759142,-0.16052248215257273
C: 跌出Top10+连续2次确认,1.2002473736580805,0.1272519339085303,0.6601610996762326,-0.35641661630684157,0.3570314291940256,288,143,103,42,7.947813131823832,23200.463457174228,0.4996510887049288,1.2929269436772064,-0.16986724848726986,0.24759882028568447,1.105246105169359,-0.1937585282046907,-0.11147266930389832,-0.6854083194822872,-0.16620879519424103,0.6457502676806945,1.0375981994537538,-0.16986724848726986
