sell_date,ticker,sell_price,shares,amount,commission,pnl_pct,ret_5d,ret_10d,ret_20d,max_rise,max_fall,data_insufficient,rebuy_date,rebuy_price,days_to_rebuy,rebuy_pnl,rebuy_spread,rebuy_commission,primary,tags,is_round_trip,is_false_kill,is_avoid_loss,year,period,regime_name,regime_id
2019-09-12,159928.SZ,0.739,274600,202929.4,60.87881999999999,0.019310344827586225,0.016576454668470797,-0.011163734776725276,0.0010148849797022574,0.022665764546684786,-0.018944519621109657,无,2019-11-07,0.76625,34.0,0.036874154262516834,0.027249999999999996,62.84782499999999,中性,中性,False,False,False,2019,研究期,震荡,3.0
2019-09-19,512400.SH,0.65782639282971,314300,206754.83526637786,62.02645057991335,0.033846153846167425,0.0014880952380902368,-0.034226190476198126,-0.07589285714286298,0.014880952380948331,-0.08482142857143504,无,2019-11-28,0.62454350985915,45.0,-0.050595238095252126,-0.033282882970560035,61.75486225487274,有效避损,有效避损,False,False,True,2019,研究期,震荡,3.0
2019-09-19,512660.SH,0.811,258600,209724.6,62.917379999999994,0.05324675324675329,-0.01602959309494456,-0.06041923551171402,-0.08754623921085092,0.01726263871763245,-0.10110974106041937,无,2020-01-23,0.796,84.0,-0.018495684340320562,-0.015000000000000013,66.62519999999999,有效避损,有效避损,False,False,True,2019,研究期,震荡,3.0
2019-09-26,512000.SH,0.463,416100,192654.30000000002,57.79629,-0.050256410256410186,-0.0388768898488121,-0.017278617710583144,-0.05183585313174954,0.016198704103671524,-0.06155507559395257,无,2019-12-12,0.439,50.0,-0.05183585313174954,-0.02400000000000002,61.68828,有效避损,有效避损,False,False,True,2019,研究期,震荡,3.0
2019-09-26,512980.SH,0.771,265100,204392.1,61.317629999999994,-0.017834394904458616,-0.03891050583657596,-0.01945525291828798,-0.02075226977950717,0.011673151750972721,-0.054474708171206254,无,2019-11-21,0.764,35.0,-0.009079118028534339,-0.007000000000000006,62.96124,有效避损,有效避损,False,False,True,2019,研究期,震荡,3.0
2019-09-26,512800.SH,0.52729656724817,394000,207754.84749577896,62.32645424873368,-0.001893939393936583,0.02751423149904908,0.06546489563567293,0.054079696394683685,0.08918406072106522,0.0018975332068282835,无,2019-10-10,0.54180472706809,5.0,0.02751423149904908,0.014508159819920041,61.70072231851409,震荡往返,"震荡往返,误杀卖飞",True,True,False,2019,研究期,震荡,3.0
2019-10-10,512010.SH,0.448175,461500,206832.76249999998,62.04982874999999,0.03857566765578637,0.05714285714285716,0.038285714285714256,0.1080000000000001,0.11599999999999988,0.02457142857142869,无,2019-10-24,0.4653337,10.0,0.038285714285714256,0.017158700000000027,62.024328873,震荡往返,"震荡往返,误杀卖飞",True,True,False,2019,研究期,震荡,3.0
2019-10-10,512480.SH,0.6130768,353600,216783.95648,65.03518694399999,0.08860759493670885,-0.019102990033222467,-0.03156146179401986,0.0033222591362127574,0.039867109634551534,-0.06727574750830567,无,2019-11-07,0.6151136,20.0,0.0033222591362127574,0.002036800000000061,62.85230764799999,震荡往返,"震荡往返,有效避损",True,False,True,2019,研究期,震荡,3.0
2019-10-17,511010.SH,115.657,1800,208182.6,62.45478,0.00041519258881230544,-0.0014093396854492068,-0.0031558833447175028,-0.0008473330624173547,0.0004928365771204035,-0.010773234650734431,无,2019-11-21,115.986,25.0,0.002844618138115429,0.32900000000000773,55.67328,中性,中性,False,False,False,2019,研究期,震荡,3.0
2019-10-31,512010.SH,0.4819802,444300,214143.80286000003,64.243140858,0.035773252614199245,0.030286928799149848,0.03188097768331555,0.011158342189160564,0.07173219978746004,-0.01062699256110522,无,2019-11-07,0.4965779,5.0,0.030286928799149848,0.014597699999999991,62.86676213999999,震荡往返,"震荡往返,误杀卖飞",True,True,False,2019,研究期,震荡,3.0
2019-11-14,512800.SH,0.55731344963421,379600,211556.18548114612,63.46685564434383,0.02862419205909031,-0.012567324955116477,-0.013464991023337758,-0.009874326750434648,0.009874326750452411,-0.026032315978454124,无,2019-12-26,0.56331682611142,30.0,0.010771992818673581,0.006003376477209943,62.578866212717635,中性,中性,False,False,False,2019,研究期,震荡,3.0
2019-11-14,512480.SH,0.6252976,340600,212976.36256,63.892908768,0.01655629139072843,0.02442996742671011,0.013843648208469173,0.14983713355048867,0.2043973941368078,-0.037459283387622166,无,2019-11-21,0.6405736,5.0,0.02442996742671011,0.015275999999999956,62.95557340799999,震荡往返,"震荡往返,误杀卖飞",True,True,False,2019,研究期,震荡,3.0
2019-11-28,159928.SZ,0.751,273400,205323.4,61.59701999999999,-0.019902120717781385,-0.018641810918775037,-0.0269640479360852,-0.03362183754993342,-0.0009986684420772995,-0.036617842876165096,无,2020-01-16,0.78225,34.0,0.04161118508655126,0.03125,62.658224999999995,有效避损,有效避损,False,False,True,2019,研究期,震荡,3.0
2019-11-28,512010.SH,0.4873583,422000,205665.20260000002,61.69956078,-0.018566271273852488,-0.036784025223331684,-0.03730951129795057,-0.03520756699947458,0.0036784025223330907,-0.06463478717813986,无,2020-01-23,0.5065658,39.0,0.03941145559642645,0.019207499999999933,66.63873098999998,有效避损,有效避损,False,False,True,2019,研究期,震荡,3.0
2019-11-28,512480.SH,0.633954,327600,207683.3304,62.30499912,-0.010333863275039665,0.055421686746987886,0.13413654618473903,0.19116465863453813,0.20401606425702812,-0.012048192771084376,无,2019-12-05,0.6690888,5.0,0.055421686746987886,0.03513480000000002,61.904095776,震荡往返,"震荡往返,误杀卖飞",True,True,False,2019,研究期,震荡,3.0
2019-11-28,512980.SH,0.748,274700,205475.6,61.64268,-0.02094240837696337,0.008021390374331583,0.03877005347593587,0.11363636363636354,0.13770053475935828,-0.009358288770053513,无,2019-12-12,0.777,10.0,0.03877005347593587,0.029000000000000026,61.67826,震荡往返,"震荡往返,误杀卖飞",True,True,False,2019,研究期,震荡,3.0
2019-12-26,515880.SH,0.35522088607595,587700,208763.3147468358,62.62899442405073,0.015238095238094355,0.026266416510303703,0.06003752345215463,-0.03752345215759667,0.11913696060037293,-0.040337711069433846,无,2020-01-23,0.39120949367089,19.0,0.10131332082552502,0.03598860759493999,66.65036143670952,震荡往返,"震荡往返,有效避损,误杀卖飞",True,True,True,2019,研究期,强牛,1.0
2020-01-16,512800.SH,0.56431738885763,370300,208966.72909398042,62.69001872819412,0.0017761989342959415,-0.024822695035477738,-0.08599290780143387,-0.05762411347518126,-0.0008865248227115652,-0.12056737588652477,无,2020-04-30,0.50228249859313,68.0,-0.10992907801419993,-0.06203489026450004,64.62868909397804,有效避损,有效避损,False,False,True,2020,研究期,弱牛,2.0
2020-01-23,512400.SH,0.72243434212548,329600,238114.3591645582,71.43430774936745,0.1567398119122346,-0.07588075880758516,0.010840108401089621,-0.012195121951220522,0.07317073170732336,-0.12737127371274304,无,2020-02-20,0.74788595851472,14.0,0.03523035230351668,0.025451616389239984,57.75175371650667,震荡往返,"震荡往返,有效避损,误杀卖飞",True,True,True,2020,研究期,弱牛,2.0
2020-01-23,512000.SH,0.488,468400,228579.19999999998,68.57376,0.11161731207289291,-0.09938524590163933,-0.08811475409836067,-0.0030737704918032405,0.069672131147541,-0.14959016393442626,无,2020-03-05,0.5175,24.0,0.06045081967213117,0.02949999999999997,69.10177499999999,误杀卖飞,"误杀卖飞,有效避损",False,True,True,2020,研究期,弱牛,2.0
2020-01-23,159928.SZ,0.7495,267000,200116.50000000003,60.03495,-0.041866410993927704,-0.04736490993996012,-0.01767845230153453,0.00033355570380244615,0.036691127418278846,-0.13609072715143444,无,2020-03-05,0.77875,24.0,0.039026017344896635,0.029249999999999998,69.106275,有效避损,有效避损,False,False,True,2020,研究期,弱牛,2.0
2020-02-06,512980.SH,0.849,264600,224645.4,67.39362,0.0926640926640926,0.09893992932862195,0.10129564193168439,0.10129564193168439,0.1590106007067138,0.0447585394581862,无,2020-02-13,0.933,5.0,0.09893992932862195,0.08400000000000007,67.95972,震荡往返,"震荡往返,误杀卖飞",True,True,False,2020,研究期,弱牛,2.0
2020-02-06,512010.SH,0.5032365,438500,220669.20525,66.20076157499999,-0.006572295247724935,0.018829516539440094,0.003562340966920985,0.027480916030534264,0.05038167938931304,-0.03307888040712459,无,2020-02-13,0.5127122,5.0,0.018829516539440094,0.009475699999999976,67.95487498799999,震荡往返,"震荡往返,误杀卖飞",True,True,False,2020,研究期,弱牛,2.0
2020-02-13,518880.SH,3.474,64000,222336.0,66.7008,0.007540603248259932,0.02705814622913061,0.05497985031663788,0.042602187679907866,0.07369027058146216,-0.04519286125503741,无,2020-03-12,3.622,20.0,0.042602187679907866,0.1479999999999997,66.39125999999999,震荡往返,"震荡往返,误杀卖飞",True,True,False,2020,研究期,熊市,4.0
2020-02-27,512010.SH,0.5016999,441800,221651.01582,66.49530474599999,-0.02147852147852143,0.030627871362940207,0.005615109749872449,-0.02297090352220521,0.07197549770290967,-0.10770801429300658,无,2020-04-09,0.5188586,29.0,0.034201123021949886,0.01715869999999997,64.27101478199998,误杀卖飞,"误杀卖飞,有效避损",False,True,True,2020,研究期,震荡,3.0
2020-03-05,512480.SH,1.0178908,308400,313917.52272,94.175256816,0.5213089802130897,-0.09004502251125557,-0.11105552776388194,-0.19109554777388693,0.0035017508754375815,-0.22711355677838918,无,2020-05-07,0.9832652,41.0,-0.034017008504252155,-0.034625600000000034,62.80114832399999,有效避损,有效避损,False,False,True,2020,研究期,震荡,3.0
2020-03-05,512980.SH,0.935,242800,227018.0,68.10539999999999,0.002143622722400859,-0.06524064171123001,-0.12941176470588245,-0.1636363636363637,-0.0064171122994652885,-0.17112299465240643,无,2020-04-23,0.838,34.0,-0.10374331550802152,-0.09700000000000009,64.91148,有效避损,有效避损,False,False,True,2020,研究期,震荡,3.0
2020-03-05,512400.SH,0.73711796696543,257400,189734.1646969017,56.9202494090705,-0.014397905759154646,-0.06640106241699495,-0.16600265604250108,-0.15803452855246058,0.0079681274900405,-0.19389110225764294,无,2020-04-23,0.64216385966709,34.0,-0.1288180610889833,-0.09495410729833997,64.94203112813281,有效避损,有效避损,False,False,True,2020,研究期,震荡,3.0
2020-03-12,512660.SH,0.846,225100,190434.6,57.130379999999995,-0.010526315789473694,-0.08274231678486987,-0.08983451536643017,-0.05200945626477538,0.011820330969267046,-0.1300236406619385,无,2020-04-23,0.814,29.0,-0.0378250591016549,-0.03200000000000003,64.93278,有效避损,有效避损,False,False,True,2020,研究期,震荡,3.0
2020-03-19,511010.SH,118.975,1900,226052.5,67.81575,-0.00249846989679141,0.005488548014288774,0.014902290397142304,0.027812565665055855,0.030762765286824978,-0.0014288716116830358,无,2020-03-26,119.628,5.0,0.005488548014288774,0.6530000000000058,61.010279999999995,震荡往返,震荡往返,True,False,False,2020,研究期,熊市,4.0
2020-04-30,512400.SH,0.62454350985915,337100,210533.61717351945,63.16008515205583,-0.027439024390246366,0.036050156739820594,0.07523510971787517,0.07523510971787517,0.08934169278997683,0.007836990595617488,无,2020-06-04,0.66272093444302,22.0,0.06112852664577373,0.03817742458387008,64.01884226719574,误杀卖飞,误杀卖飞,False,True,False,2020,研究期,熊市,4.0
2020-04-30,512660.SH,0.794,265900,211124.6,63.337379999999996,-0.024570024570024458,0.06297229219143574,0.0743073047858942,0.04534005037783362,0.09068010075566746,-0.0025188916876573986,无,2020-07-30,1.11,60.0,0.3979848866498741,0.31600000000000006,78.5214,误杀卖飞,误杀卖飞,False,True,False,2020,研究期,熊市,4.0
2020-04-30,512980.SH,0.825,258200,213015.0,63.90449999999999,-0.015513126491646793,0.042424242424242475,0.032727272727272716,0.054545454545454675,0.06303030303030299,-0.020606060606060517,无,2020-05-07,0.855,2.0,0.036363636363636376,0.030000000000000027,62.76555,震荡往返,"震荡往返,误杀卖飞",True,True,False,2020,研究期,熊市,4.0
2020-05-28,159928.SZ,0.8335,269500,224628.25,67.388475,0.04842767295597481,0.032693461307738536,0.05218956208758252,0.09358128374325125,0.10197960407918405,-0.009298140371925667,无,2020-06-04,0.86075,5.0,0.032693461307738536,0.027249999999999996,64.0139775,震荡往返,"震荡往返,误杀卖飞",True,True,False,2020,研究期,熊市,4.0
2020-05-28,512800.SH,0.49077602701182,428900,210493.83798536958,63.14815139561087,-0.022908366533851192,0.031600407747191195,0.020387359836891772,0.019367991845048005,0.04383282364933416,-0.008154943934768899,无,2020-06-11,0.50078165447383,10.0,0.020387359836891772,0.010005627462010058,58.50131287563282,震荡往返,震荡往返,True,False,False,2020,研究期,熊市,4.0
2020-05-28,512480.SH,0.939474,212900,200014.0146,60.00420437999999,-0.04453650958052814,0.042276422764227606,0.04281842818428183,0.10840108401084025,0.12520325203252014,-0.02005420054200535,无,2020-11-05,1.0677924,107.0,0.13658536585365866,0.12831840000000005,72.460392264,误杀卖飞,误杀卖飞,False,True,False,2020,研究期,熊市,4.0
2020-05-28,512980.SH,0.822,244700,201143.4,60.343019999999996,-0.03859649122807021,0.05596107055961075,0.07420924574209242,0.14233576642335777,0.15693430656934315,-0.0036496350364964014,无,2020-06-04,0.868,5.0,0.05596107055961075,0.04600000000000004,64.03236,震荡往返,"震荡往返,误杀卖飞",True,True,False,2020,研究期,熊市,4.0
2020-06-11,518880.SH,3.844,50700,194890.8,58.46723999999999,-0.0015584415584416174,0.0007804370447450637,0.018990634755463143,0.02445369406867859,0.029916753381893813,-0.0039021852237252075,无,2020-07-30,4.215,33.0,0.0965140478668054,0.371,56.902499999999996,中性,中性,False,False,False,2020,研究期,弱牛,2.0
2020-06-18,512400.SH,0.68034128425096,322000,219069.8935288091,65.72096805864273,0.02658788774003169,0.015827338129502655,0.1151079136690647,0.15971223021582603,0.29496402877698347,0.0,无,2020-07-30,0.84577679078105,28.0,0.24316546762589986,0.16543550653008998,78.53037502402049,误杀卖飞,误杀卖飞,False,True,False,2020,研究期,弱牛,2.0
2020-06-18,512800.SH,0.49277715250422,389400,191887.42318514327,57.56622695554297,-0.015984015984012764,0.015228426395937023,0.09035532994924877,0.08527918781725607,0.23857868020304207,-0.009137055837570407,无,2020-08-20,0.546307259426,43.0,0.10862944162436916,0.05353010692178001,76.60320391671371,误杀卖飞,误杀卖飞,False,True,False,2020,研究期,弱牛,2.0
2020-07-30,512980.SH,1.01,245900,248359.0,74.5077,0.16359447004608296,-0.003960396039603964,-0.04257425742574261,0.013861386138613874,0.024752475247524774,-0.06831683168316838,无,2020-09-03,1.043,25.0,0.0326732673267327,0.03299999999999992,76.84823999999999,有效避损,有效避损,False,False,True,2020,研究期,强牛,1.0
2020-07-30,515880.SH,0.41886740506329,589400,246880.44854430313,74.06413456329093,0.11634103019536497,0.0318217979315818,0.003977724741456745,-0.014319809069205824,0.045346062052501024,-0.023866348448692287,无,2020-08-06,0.43219651898734,5.0,0.0318217979315818,0.013329113924050007,61.47131089556937,震荡往返,震荡往返,True,False,False,2020,研究期,强牛,1.0
2020-07-30,512000.SH,0.591,386500,228421.5,68.52645,0.20489296636085622,0.014382402707275865,-0.010998307952622577,-0.010152284263959421,0.08121827411167515,-0.03384094754653133,无,2020-08-20,0.6035,15.0,0.02115059221658222,0.012500000000000067,76.602255,震荡往返,"震荡往返,误杀卖飞",True,True,False,2020,研究期,强牛,1.0
2020-08-13,512010.SH,0.7262996,412900,299889.10484000004,89.966731452,0.39980256663376135,-0.025035260930888592,-0.0010578279266573176,-0.05535966149506355,0.049012693935119866,-0.0761636107193231,无,2020-10-15,0.7311655,39.0,0.006699576868829382,0.004865899999999979,74.293726455,有效避损,有效避损,False,False,True,2020,研究期,强牛,1.0
2020-08-13,159928.SZ,1.083,247900,268475.7,80.54271,0.2582050537322102,0.03878116343490312,0.07433056325023091,0.0270083102493075,0.14635272391505083,0.004616805170821969,无,2020-08-20,1.125,5.0,0.03878116343490312,0.04200000000000004,76.6125,震荡往返,"震荡往返,误杀卖飞",True,True,False,2020,研究期,强牛,1.0
2020-08-13,512400.SH,0.82130408271447,309500,254193.61360012845,76.25808408003853,-0.02893518518518361,0.019070321811678115,-0.01072705601907109,-0.02264600715136833,0.054827175208582046,-0.042908224076284696,无,2020-08-20,0.83696661587708,5.0,0.019070321811678115,0.015662533162610015,76.58244535275281,震荡往返,"震荡往返,误杀卖飞",True,True,False,2020,研究期,强牛,1.0
2020-08-13,515880.SH,0.4205335443038,474100,199374.95335443158,59.812486006329465,-0.026985350809550664,-0.013470681457999567,-0.018225039619653383,-0.053882725832021805,0.028526148969875598,-0.09984152139461233,无,2020-11-26,0.37588101265823,69.0,-0.10618066561014294,-0.04465253164557004,71.9887315443042,有效避损,有效避损,False,False,True,2020,研究期,强牛,1.0
2020-08-27,512660.SH,1.096,235800,258436.80000000002,77.53104,-0.012612612612612623,0.049270072992700475,-0.0018248175182481452,-0.014598540145985384,0.07481751824817495,-0.05748175182481763,无,2020-10-15,1.14,29.0,0.04014598540145964,0.04399999999999982,74.28239999999998,误杀卖飞,"误杀卖飞,有效避损",False,True,True,2020,研究期,弱牛,2.0
2020-08-27,512800.SH,0.53480078784468,467400,249965.88823860342,74.98976647158102,-0.021062271062276847,0.005612722170263096,0.007483629560344651,-0.006548175865285111,0.03367633302152262,-0.01777362020579254,无,2020-10-15,0.53630163196398,29.0,0.002806361085122111,0.00150084411929996,74.29922809228978,中性,中性,False,False,False,2020,研究期,弱牛,2.0
