open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
0.813,0.821,0.805,0.815,54881900,513160.SH,2022-06-01,NA,NA,CNY
0.809,0.812,0.8,0.809,53942500,513160.SH,2022-06-02,NA,NA,CNY
0.821,0.831,0.811,0.831,51591400,513160.SH,2022-06-06,NA,NA,CNY
0.832,0.851,0.825,0.837,70325100,513160.SH,2022-06-07,NA,NA,CNY
0.843,0.865,0.843,0.861,78884100,513160.SH,2022-06-08,NA,NA,CNY
0.869,0.877,0.838,0.842,88371800,513160.SH,2022-06-09,NA,NA,CNY
0.841,0.868,0.83,0.862,90285800,513160.SH,2022-06-10,NA,NA,CNY
0.857,0.864,0.839,0.844,94442700,513160.SH,2022-06-13,NA,NA,CNY
0.844,0.848,0.826,0.848,76746800,513160.SH,2022-06-14,NA,NA,CNY
0.852,0.859,0.847,0.848,86368200,513160.SH,2022-06-15,NA,NA,CNY
0.85,0.856,0.83,0.83,76748000,513160.SH,2022-06-16,NA,NA,CNY
0.835,0.845,0.819,0.836,76296400,513160.SH,2022-06-17,NA,NA,CNY
0.837,0.844,0.828,0.842,70997600,513160.SH,2022-06-20,NA,NA,CNY
0.842,0.856,0.834,0.851,50999600,513160.SH,2022-06-21,NA,NA,CNY
0.851,0.857,0.83,0.832,48405300,513160.SH,2022-06-22,NA,NA,CNY
0.832,0.842,0.824,0.839,51808100,513160.SH,2022-06-23,NA,NA,CNY
0.844,0.868,0.844,0.865,44408000,513160.SH,2022-06-24,NA,NA,CNY
0.865,0.91,0.865,0.893,97088700,513160.SH,2022-06-27,NA,NA,CNY
0.893,0.912,0.88,0.909,68882100,513160.SH,2022-06-28,NA,NA,CNY
0.908,0.914,0.882,0.885,74165800,513160.SH,2022-06-29,NA,NA,CNY
0.886,0.899,0.869,0.877,74813400,513160.SH,2022-06-30,NA,NA,CNY
0.877,0.88,0.877,0.878,4367600,513160.SH,2022-07-01,NA,NA,CNY
0.873,0.88,0.862,0.873,84493200,513160.SH,2022-07-04,NA,NA,CNY
0.878,0.884,0.859,0.864,60198700,513160.SH,2022-07-05,NA,NA,CNY
0.864,0.871,0.836,0.842,80304700,513160.SH,2022-07-06,NA,NA,CNY
0.843,0.853,0.83,0.848,58551600,513160.SH,2022-07-07,NA,NA,CNY
0.858,0.863,0.849,0.853,63292900,513160.SH,2022-07-08,NA,NA,CNY
0.845,0.845,0.819,0.822,58823900,513160.SH,2022-07-11,NA,NA,CNY
0.824,0.828,0.812,0.817,53320800,513160.SH,2022-07-12,NA,NA,CNY
0.819,0.828,0.811,0.817,54543700,513160.SH,2022-07-13,NA,NA,CNY
0.816,0.825,0.81,0.818,57468900,513160.SH,2022-07-14,NA,NA,CNY
0.813,0.82,0.803,0.803,47171600,513160.SH,2022-07-15,NA,NA,CNY
0.808,0.828,0.799,0.827,63474000,513160.SH,2022-07-18,NA,NA,CNY
0.829,0.829,0.813,0.818,48001500,513160.SH,2022-07-19,NA,NA,CNY
0.826,0.836,0.825,0.83,54600200,513160.SH,2022-07-20,NA,NA,CNY
0.83,0.838,0.83,0.83,55938500,513160.SH,2022-07-21,NA,NA,CNY
0.836,0.844,0.828,0.832,19663000,513160.SH,2022-07-22,NA,NA,CNY
0.832,0.832,0.814,0.819,49991600,513160.SH,2022-07-25,NA,NA,CNY
0.82,0.83,0.818,0.827,33420700,513160.SH,2022-07-26,NA,NA,CNY
0.83,0.83,0.818,0.818,40111400,513160.SH,2022-07-27,NA,NA,CNY
0.823,0.835,0.823,0.825,58055300,513160.SH,2022-07-28,NA,NA,CNY
0.826,0.826,0.789,0.789,59671100,513160.SH,2022-07-29,NA,NA,CNY
0.789,0.796,0.778,0.791,61881900,513160.SH,2022-08-01,NA,NA,CNY
0.784,0.784,0.76,0.768,51201600,513160.SH,2022-08-02,NA,NA,CNY
0.774,0.788,0.772,0.774,61394400,513160.SH,2022-08-03,NA,NA,CNY
0.781,0.8,0.781,0.796,27768800,513160.SH,2022-08-04,NA,NA,CNY
0.799,0.815,0.799,0.812,37477400,513160.SH,2022-08-05,NA,NA,CNY
0.808,0.811,0.799,0.803,44207900,513160.SH,2022-08-08,NA,NA,CNY
0.803,0.811,0.791,0.798,55143800,513160.SH,2022-08-09,NA,NA,CNY
0.798,0.798,0.773,0.775,39397700,513160.SH,2022-08-10,NA,NA,CNY
0.795,0.803,0.775,0.802,50340200,513160.SH,2022-08-11,NA,NA,CNY
0.804,0.809,0.801,0.805,49583700,513160.SH,2022-08-12,NA,NA,CNY
0.8,0.813,0.798,0.8,44607000,513160.SH,2022-08-15,NA,NA,CNY
0.8,0.807,0.776,0.783,74002500,513160.SH,2022-08-16,NA,NA,CNY
0.789,0.792,0.779,0.787,34098200,513160.SH,2022-08-17,NA,NA,CNY
0.787,0.792,0.783,0.785,41625200,513160.SH,2022-08-18,NA,NA,CNY
0.784,0.797,0.784,0.788,31841500,513160.SH,2022-08-19,NA,NA,CNY
0.782,0.786,0.778,0.783,50846700,513160.SH,2022-08-22,NA,NA,CNY
0.783,0.787,0.74,0.774,47670600,513160.SH,2022-08-23,NA,NA,CNY
0.773,0.775,0.751,0.755,36107400,513160.SH,2022-08-24,NA,NA,CNY
0.758,0.778,0.758,0.777,45889900,513160.SH,2022-08-25,NA,NA,CNY
0.788,0.792,0.781,0.783,58030800,513160.SH,2022-08-26,NA,NA,CNY
0.794,0.794,0.776,0.782,57992400,513160.SH,2022-08-29,NA,NA,CNY
0.78,0.78,0.763,0.774,55581100,513160.SH,2022-08-30,NA,NA,CNY
0.764,0.797,0.764,0.787,80478100,513160.SH,2022-08-31,NA,NA,CNY
0.783,0.789,0.772,0.772,62077900,513160.SH,2022-09-01,NA,NA,CNY
0.792,0.813,0.761,0.764,43206900,513160.SH,2022-09-02,NA,NA,CNY
0.764,0.764,0.751,0.756,50112700,513160.SH,2022-09-05,NA,NA,CNY
0.761,0.764,0.752,0.76,21402400,513160.SH,2022-09-06,NA,NA,CNY
0.753,0.758,0.747,0.758,50473800,513160.SH,2022-09-07,NA,NA,CNY
0.761,0.761,0.747,0.747,36371500,513160.SH,2022-09-08,NA,NA,CNY
0.749,0.763,0.747,0.76,36618200,513160.SH,2022-09-09,NA,NA,CNY
0.758,0.764,0.756,0.756,39298100,513160.SH,2022-09-13,NA,NA,CNY
0.751,0.751,0.74,0.744,32672700,513160.SH,2022-09-14,NA,NA,CNY
0.744,0.75,0.743,0.745,36251700,513160.SH,2022-09-15,NA,NA,CNY
0.745,0.748,0.738,0.738,54970100,513160.SH,2022-09-16,NA,NA,CNY
0.731,0.731,0.721,0.723,41990100,513160.SH,2022-09-19,NA,NA,CNY
0.728,0.737,0.728,0.731,46355200,513160.SH,2022-09-20,NA,NA,CNY
0.724,0.725,0.717,0.717,44548100,513160.SH,2022-09-21,NA,NA,CNY
0.707,0.716,0.703,0.709,44168800,513160.SH,2022-09-22,NA,NA,CNY
0.704,0.71,0.7,0.703,45488000,513160.SH,2022-09-23,NA,NA,CNY
0.702,0.721,0.702,0.708,56774800,513160.SH,2022-09-26,NA,NA,CNY
0.75,0.75,0.699,0.709,50794200,513160.SH,2022-09-27,NA,NA,CNY
0.71,0.71,0.696,0.696,51645300,513160.SH,2022-09-28,NA,NA,CNY
0.701,0.702,0.67,0.675,70926500,513160.SH,2022-09-29,NA,NA,CNY
0.674,0.675,0.654,0.661,48691400,513160.SH,2022-09-30,NA,NA,CNY
0.656,0.664,0.655,0.656,50735400,513160.SH,2022-10-10,NA,NA,CNY
0.66,0.662,0.644,0.648,59389800,513160.SH,2022-10-11,NA,NA,CNY
0.643,0.66,0.623,0.655,96340300,513160.SH,2022-10-12,NA,NA,CNY
0.65,0.654,0.631,0.632,48575900,513160.SH,2022-10-13,NA,NA,CNY
0.641,0.657,0.64,0.643,41472100,513160.SH,2022-10-14,NA,NA,CNY
0.637,0.641,0.624,0.639,66106600,513160.SH,2022-10-17,NA,NA,CNY
0.657,0.667,0.65,0.665,55380800,513160.SH,2022-10-18,NA,NA,CNY
0.666,0.67,0.653,0.653,46341500,513160.SH,2022-10-19,NA,NA,CNY
0.649,0.658,0.631,0.647,89418000,513160.SH,2022-10-20,NA,NA,CNY
0.65,0.657,0.645,0.65,58887800,513160.SH,2022-10-21,NA,NA,CNY
0.645,0.645,0.604,0.606,82929900,513160.SH,2022-10-24,NA,NA,CNY
0.612,0.642,0.592,0.622,110800200,513160.SH,2022-10-25,NA,NA,CNY
0.639,0.654,0.623,0.634,68771300,513160.SH,2022-10-26,NA,NA,CNY
0.657,0.657,0.637,0.637,65302100,513160.SH,2022-10-27,NA,NA,CNY
0.637,0.639,0.607,0.611,86696200,513160.SH,2022-10-28,NA,NA,CNY
0.616,0.647,0.612,0.635,79459800,513160.SH,2022-10-31,NA,NA,CNY
0.64,0.677,0.64,0.671,165744100,513160.SH,2022-11-01,NA,NA,CNY
0.674,0.678,0.655,0.671,140641400,513160.SH,2022-11-02,NA,NA,CNY
0.665,0.674,0.655,0.658,70714100,513160.SH,2022-11-03,NA,NA,CNY
0.66,0.703,0.66,0.692,90052700,513160.SH,2022-11-04,NA,NA,CNY
0.684,0.723,0.681,0.717,145675100,513160.SH,2022-11-07,NA,NA,CNY
0.73,0.741,0.703,0.71,89988700,513160.SH,2022-11-08,NA,NA,CNY
0.716,0.721,0.697,0.698,50395300,513160.SH,2022-11-09,NA,NA,CNY
0.69,0.698,0.678,0.686,37263200,513160.SH,2022-11-10,NA,NA,CNY
0.731,0.739,0.712,0.717,53727300,513160.SH,2022-11-11,NA,NA,CNY
0.729,0.74,0.714,0.719,121745500,513160.SH,2022-11-14,NA,NA,CNY
0.723,0.763,0.712,0.758,125376800,513160.SH,2022-11-15,NA,NA,CNY
0.764,0.771,0.743,0.749,102556800,513160.SH,2022-11-16,NA,NA,CNY
0.743,0.755,0.729,0.752,111365100,513160.SH,2022-11-17,NA,NA,CNY
0.766,0.778,0.746,0.749,113709500,513160.SH,2022-11-18,NA,NA,CNY
0.742,0.745,0.723,0.74,56162700,513160.SH,2022-11-21,NA,NA,CNY
0.739,0.747,0.716,0.72,76120300,513160.SH,2022-11-22,NA,NA,CNY
0.72,0.729,0.71,0.725,61067500,513160.SH,2022-11-23,NA,NA,CNY
0.749,0.749,0.718,0.721,36560700,513160.SH,2022-11-24,NA,NA,CNY
0.719,0.726,0.711,0.714,49114200,513160.SH,2022-11-25,NA,NA,CNY
0.708,0.708,0.687,0.702,69328300,513160.SH,2022-11-28,NA,NA,CNY
0.713,0.737,0.713,0.734,81828500,513160.SH,2022-11-29,NA,NA,CNY
0.738,0.745,0.73,0.742,65015900,513160.SH,2022-11-30,NA,NA,CNY
0.765,0.78,0.756,0.761,62897000,513160.SH,2022-12-01,NA,NA,CNY
0.756,0.769,0.747,0.75,57185700,513160.SH,2022-12-02,NA,NA,CNY
0.766,0.788,0.759,0.788,90243800,513160.SH,2022-12-05,NA,NA,CNY
0.781,0.797,0.775,0.777,89557200,513160.SH,2022-12-06,NA,NA,CNY
0.782,0.808,0.772,0.772,123951300,513160.SH,2022-12-07,NA,NA,CNY
0.772,0.79,0.765,0.787,74421200,513160.SH,2022-12-08,NA,NA,CNY
0.788,0.816,0.786,0.808,82021500,513160.SH,2022-12-09,NA,NA,CNY
0.808,0.808,0.785,0.786,66327700,513160.SH,2022-12-12,NA,NA,CNY
0.791,0.805,0.785,0.794,58337600,513160.SH,2022-12-13,NA,NA,CNY
0.872,0.872,0.799,0.809,84273700,513160.SH,2022-12-14,NA,NA,CNY
0.809,0.809,0.791,0.794,47557100,513160.SH,2022-12-15,NA,NA,CNY
0.798,0.811,0.768,0.795,60694300,513160.SH,2022-12-16,NA,NA,CNY
0.8,0.81,0.784,0.788,60062500,513160.SH,2022-12-19,NA,NA,CNY
0.788,0.788,0.76,0.763,47995100,513160.SH,2022-12-20,NA,NA,CNY
0.764,0.773,0.762,0.763,34073100,513160.SH,2022-12-21,NA,NA,CNY
0.774,0.801,0.773,0.797,43636100,513160.SH,2022-12-22,NA,NA,CNY
0.795,0.798,0.781,0.785,64654300,513160.SH,2022-12-23,NA,NA,CNY
0.78,0.79,0.78,0.78,1974000,513160.SH,2022-12-26,NA,NA,CNY
0.78,0.793,0.78,0.793,11103600,513160.SH,2022-12-27,NA,NA,CNY
0.798,0.815,0.79,0.801,48059500,513160.SH,2022-12-28,NA,NA,CNY
0.799,0.802,0.786,0.786,34861300,513160.SH,2022-12-29,NA,NA,CNY
0.796,0.803,0.788,0.788,39325100,513160.SH,2022-12-30,NA,NA,CNY
0.783,0.804,0.761,0.8,50560000,513160.SH,2023-01-03,NA,NA,CNY
0.805,0.85,0.805,0.815,46343900,513160.SH,2023-01-04,NA,NA,CNY
0.829,0.842,0.823,0.825,62763400,513160.SH,2023-01-05,NA,NA,CNY
0.831,0.832,0.806,0.808,40940000,513160.SH,2023-01-06,NA,NA,CNY
0.815,0.829,0.811,0.823,71757400,513160.SH,2023-01-09,NA,NA,CNY
0.822,0.826,0.811,0.818,42542900,513160.SH,2023-01-10,NA,NA,CNY
0.817,0.831,0.814,0.816,43821000,513160.SH,2023-01-11,NA,NA,CNY
0.818,0.819,0.791,0.795,49880900,513160.SH,2023-01-12,NA,NA,CNY
0.801,0.803,0.792,0.803,45286100,513160.SH,2023-01-13,NA,NA,CNY
0.805,0.808,0.788,0.791,39864400,513160.SH,2023-01-16,NA,NA,CNY
0.795,0.81,0.793,0.798,37361400,513160.SH,2023-01-17,NA,NA,CNY
0.799,0.818,0.797,0.809,38904000,513160.SH,2023-01-18,NA,NA,CNY
0.806,0.808,0.798,0.804,34469500,513160.SH,2023-01-19,NA,NA,CNY
0.812,0.822,0.807,0.819,24236400,513160.SH,2023-01-20,NA,NA,CNY
0.839,0.859,0.829,0.83,36048200,513160.SH,2023-01-30,NA,NA,CNY
0.832,0.841,0.811,0.813,37670100,513160.SH,2023-01-31,NA,NA,CNY
0.83,0.849,0.819,0.848,39486300,513160.SH,2023-02-01,NA,NA,CNY
0.854,0.867,0.848,0.855,33673400,513160.SH,2023-02-02,NA,NA,CNY
0.848,0.86,0.835,0.847,53096300,513160.SH,2023-02-03,NA,NA,CNY
0.839,0.84,0.818,0.822,40540800,513160.SH,2023-02-06,NA,NA,CNY
0.827,0.836,0.823,0.824,35368100,513160.SH,2023-02-07,NA,NA,CNY
0.826,0.831,0.809,0.811,37315800,513160.SH,2023-02-08,NA,NA,CNY
